session_uuid,kiosk_id,started_at,ended_at,estimated_gender,estimated_age_group,end_reason,is_simple_mode,help_triggered,status
session_R0001,1,2026-11-07T07:35:00,2026-11-07T08:20:00,M,50+,order_completed,0,1,ended
session_R0002,1,2026-09-18T19:46:00,2026-09-18T20:16:00,F,40~49,order_completed,0,0,ended
session_R0003,1,2026-09-07T11:36:00,2026-09-07T12:21:00,M,40~49,order_completed,0,0,ended
session_R0004,1,2026-06-13T16:14:00,2026-06-13T16:52:00,M,50+,order_completed,0,0,ended
session_R0005,1,2026-10-01T15:13:00,2026-10-01T16:00:00,F,40~49,order_completed,1,0,ended
session_R0006,1,2026-04-28T18:43:00,2026-04-28T19:38:00,F,30~39,order_completed,1,0,ended
session_R0007,1,2026-09-14T13:27:00,2026-09-14T14:19:00,F,20~29,order_completed,0,0,ended
session_R0008,1,2026-04-17T06:20:00,2026-04-17T06:38:00,F,30~39,order_completed,1,0,ended
session_R0009,1,2026-05-02T21:52:00,2026-05-02T22:42:00,M,20~29,order_completed,0,1,ended
session_R0010,1,2026-01-12T09:22:00,2026-01-12T10:06:00,F,50+,order_completed,0,0,ended
session_R0011,1,2026-10-01T21:38:00,2026-10-01T22:21:00,F,40~49,order_completed,1,0,ended
session_R0012,1,2026-08-12T18:10:00,2026-08-12T19:06:00,F,30~39,order_completed,0,0,ended
session_R0013,1,2026-02-07T11:22:00,2026-02-07T11:29:00,M,50+,order_completed,1,0,ended
session_R0014,1,2026-05-05T20:57:00,2026-05-05T21:17:00,M,50+,order_completed,0,0,ended
session_R0015,1,2026-05-05T14:10:00,2026-05-05T14:54:00,M,50+,order_completed,0,0,ended
session_R0016,1,2026-01-14T20:20:00,2026-01-14T21:16:00,F,20~29,order_completed,0,0,ended
session_R0017,1,2026-04-10T14:40:00,2026-04-10T14:45:00,F,50+,order_completed,0,1,ended
session_R0018,1,2026-07-29T09:35:00,2026-07-29T10:29:00,F,50+,order_completed,0,0,ended
session_R0019,1,2026-10-17T15:08:00,2026-10-17T15:42:00,F,20~29,order_completed,0,0,ended
session_R0020,1,2026-03-30T13:18:00,2026-03-30T13:42:00,F,40~49,order_completed,0,0,ended
session_R0021,1,2026-09-20T21:46:00,2026-09-20T22:18:00,M,50+,order_completed,0,0,ended
session_R0022,1,2026-07-08T13:48:00,2026-07-08T14:11:00,M,50+,order_completed,0,0,ended
session_R0023,1,2026-11-02T07:00:00,2026-11-02T07:30:00,M,50+,order_completed,0,0,ended
session_R0024,1,2026-07-02T20:09:00,2026-07-02T21:03:00,F,30~39,order_completed,0,0,ended
session_R0025,1,2026-06-01T17:10:00,2026-06-01T17:36:00,M,30~39,order_completed,0,0,ended
session_R0026,1,2026-03-26T18:27:00,2026-03-26T18:39:00,M,30~39,order_completed,0,0,ended
session_R0027,1,2026-06-24T21:15:00,2026-06-24T21:48:00,F,40~49,order_completed,0,1,ended
session_R0028,1,2026-06-16T20:03:00,2026-06-16T20:31:00,M,20~29,order_completed,0,0,ended
session_R0029,1,2026-03-12T12:04:00,2026-03-12T12:34:00,M,40~49,order_completed,0,0,ended
session_R0030,1,2026-06-30T06:38:00,2026-06-30T07:14:00,M,20~29,order_completed,0,0,ended
session_R0031,1,2026-09-21T20:58:00,2026-09-21T21:26:00,F,20~29,order_completed,0,0,ended
session_R0032,1,2026-07-23T15:19:00,2026-07-23T16:03:00,F,50+,order_completed,0,0,ended
session_R0033,1,2026-10-25T22:54:00,2026-10-25T22:59:00,M,50+,order_completed,0,1,ended
session_R0034,1,2026-09-30T13:47:00,2026-09-30T14:07:00,F,30~39,order_completed,1,0,ended
session_R0035,1,2026-08-08T15:08:00,2026-08-08T15:33:00,F,40~49,order_completed,0,0,ended
session_R0036,1,2026-09-26T17:12:00,2026-09-26T17:26:00,M,50+,order_completed,0,1,ended
session_R0037,1,2026-03-04T10:12:00,2026-03-04T10:19:00,M,50+,order_completed,0,0,ended
session_R0038,1,2026-03-08T06:22:00,2026-03-08T07:07:00,F,20~29,order_completed,0,0,ended
session_R0039,1,2026-10-15T11:45:00,2026-10-15T12:17:00,M,40~49,order_completed,0,0,ended
session_R0040,1,2026-11-06T07:28:00,2026-11-06T07:56:00,M,30~39,order_completed,0,0,ended
session_R0041,1,2026-06-04T11:34:00,2026-06-04T11:41:00,F,40~49,order_completed,0,0,ended
session_R0042,1,2026-01-12T06:06:00,2026-01-12T06:23:00,F,50+,order_completed,0,0,ended
session_R0043,1,2026-11-11T06:59:00,2026-11-11T07:49:00,M,50+,order_completed,0,0,ended
session_R0044,1,2026-08-09T08:08:00,2026-08-09T08:40:00,M,50+,order_completed,0,0,ended
session_R0045,1,2026-01-31T19:32:00,2026-01-31T20:13:00,F,30~39,order_completed,0,0,ended
session_R0046,1,2026-03-20T11:58:00,2026-03-20T12:39:00,F,40~49,order_completed,1,0,ended
session_R0047,1,2026-11-11T06:28:00,2026-11-11T07:18:00,F,40~49,order_completed,1,0,ended
