order_item_id,option_item_id,option_name,extra_price
1,5,ICE,0
1,2,Grande,500
2,4,HOT,0
2,2,Grande,500
2,13,더 달게,0
2,6,샷 추가 (+1),500
3,4,HOT,0
3,2,Grande,500
4,5,ICE,0
4,2,Grande,500
4,11,기본,0
4,9,카라멜 시럽,300
5,5,ICE,0
5,1,Tall,0
5,11,기본,0
6,4,HOT,0
6,1,Tall,0
7,4,HOT,0
7,2,Grande,500
7,10,휘핑크림 추가,500
8,4,HOT,0
8,1,Tall,0
8,11,기본,0
9,4,HOT,0
9,1,Tall,0
9,11,기본,0
9,6,샷 추가 (+1),500
10,5,ICE,0
10,1,Tall,0
10,12,덜 달게,0
10,6,샷 추가 (+1),500
11,4,HOT,0
11,1,Tall,0
11,13,더 달게,0
12,5,ICE,0
12,2,Grande,500
13,4,HOT,0
13,2,Grande,500
13,6,샷 추가 (+1),500
14,5,ICE,0
14,1,Tall,0
14,11,기본,0
15,4,HOT,0
15,1,Tall,0
16,5,ICE,0
16,2,Grande,500
16,11,기본,0
17,4,HOT,0
17,3,Venti,1000
17,12,덜 달게,0
17,7,바닐라 시럽,300
18,5,ICE,0
18,2,Grande,500
18,11,기본,0
18,10,휘핑크림 추가,500
19,4,HOT,0
19,3,Venti,1000
19,6,샷 추가 (+1),500
20,5,ICE,0
20,1,Tall,0
20,6,샷 추가 (+1),500
21,4,HOT,0
21,1,Tall,0
22,5,ICE,0
22,1,Tall,0
22,6,샷 추가 (+1),500
23,4,HOT,0
23,3,Venti,1000
23,7,바닐라 시럽,300
24,5,ICE,0
24,2,Grande,500
24,11,기본,0
25,4,HOT,0
25,3,Venti,1000
25,13,더 달게,0
26,4,HOT,0
26,3,Venti,1000
26,11,기본,0
26,6,샷 추가 (+1),500
27,4,HOT,0
27,1,Tall,0
27,11,기본,0
28,4,HOT,0
28,1,Tall,0
29,4,HOT,0
29,1,Tall,0
29,11,기본,0
30,4,HOT,0
30,3,Venti,1000
30,11,기본,0
30,6,샷 추가 (+1),500
30,7,바닐라 시럽,300
31,4,HOT,0
31,1,Tall,0
31,8,헤이즐넛 시럽,300
31,10,휘핑크림 추가,500
32,4,HOT,0
32,3,Venti,1000
33,4,HOT,0
33,2,Grande,500
33,13,더 달게,0
33,6,샷 추가 (+1),500
33,8,헤이즐넛 시럽,300
34,4,HOT,0
34,3,Venti,1000
34,6,샷 추가 (+1),500
35,4,HOT,0
35,2,Grande,500
35,12,덜 달게,0
36,5,ICE,0
36,2,Grande,500
36,6,샷 추가 (+1),500
36,10,휘핑크림 추가,500
37,4,HOT,0
37,3,Venti,1000
37,11,기본,0
38,5,ICE,0
38,2,Grande,500
38,11,기본,0
38,6,샷 추가 (+1),500
39,4,HOT,0
39,2,Grande,500
39,12,덜 달게,0
39,10,휘핑크림 추가,500
40,4,HOT,0
40,1,Tall,0
40,6,샷 추가 (+1),500
41,5,ICE,0
41,3,Venti,1000
41,13,더 달게,0
41,7,바닐라 시럽,300
42,5,ICE,0
42,1,Tall,0
43,4,HOT,0
43,3,Venti,1000
43,12,덜 달게,0
43,6,샷 추가 (+1),500
44,4,HOT,0
44,1,Tall,0
45,5,ICE,0
45,3,Venti,1000
45,6,샷 추가 (+1),500
45,7,바닐라 시럽,300
46,5,ICE,0
46,1,Tall,0
46,11,기본,0
47,4,HOT,0
47,2,Grande,500
47,9,카라멜 시럽,300
48,4,HOT,0
48,2,Grande,500
48,8,헤이즐넛 시럽,300
49,4,HOT,0
49,2,Grande,500
49,13,더 달게,0
49,6,샷 추가 (+1),500
50,4,HOT,0
50,2,Grande,500
50,13,더 달게,0
51,5,ICE,0
51,2,Grande,500
52,4,HOT,0
52,2,Grande,500
52,12,덜 달게,0
52,6,샷 추가 (+1),500
52,9,카라멜 시럽,300
53,4,HOT,0
53,1,Tall,0
53,12,덜 달게,0
53,7,바닐라 시럽,300
54,4,HOT,0
54,2,Grande,500
54,11,기본,0
54,6,샷 추가 (+1),500
55,5,ICE,0
55,1,Tall,0
55,11,기본,0
55,10,휘핑크림 추가,500
56,4,HOT,0
56,1,Tall,0
56,11,기본,0
56,6,샷 추가 (+1),500
57,4,HOT,0
57,1,Tall,0
57,6,샷 추가 (+1),500
57,10,휘핑크림 추가,500
58,5,ICE,0
58,3,Venti,1000
58,6,샷 추가 (+1),500
59,4,HOT,0
59,2,Grande,500
59,13,더 달게,0
59,6,샷 추가 (+1),500
60,4,HOT,0
60,1,Tall,0
61,4,HOT,0
61,3,Venti,1000
61,11,기본,0
62,4,HOT,0
62,3,Venti,1000
62,11,기본,0
63,4,HOT,0
63,1,Tall,0
64,4,HOT,0
64,1,Tall,0
65,4,HOT,0
65,1,Tall,0
65,6,샷 추가 (+1),500
65,7,바닐라 시럽,300
66,5,ICE,0
66,1,Tall,0
66,11,기본,0
66,9,카라멜 시럽,300
67,4,HOT,0
67,3,Venti,1000
67,13,더 달게,0
68,4,HOT,0
68,1,Tall,0
68,11,기본,0
68,6,샷 추가 (+1),500
69,4,HOT,0
69,1,Tall,0
70,5,ICE,0
70,1,Tall,0
70,6,샷 추가 (+1),500
71,4,HOT,0
71,3,Venti,1000
71,6,샷 추가 (+1),500
72,4,HOT,0
72,2,Grande,500
72,13,더 달게,0
72,8,헤이즐넛 시럽,300
73,4,HOT,0
73,3,Venti,1000
73,12,덜 달게,0
73,8,헤이즐넛 시럽,300
73,10,휘핑크림 추가,500
74,4,HOT,0
74,1,Tall,0
74,13,더 달게,0
74,10,휘핑크림 추가,500
75,4,HOT,0
75,1,Tall,0
76,5,ICE,0
76,3,Venti,1000
76,11,기본,0
77,5,ICE,0
77,3,Venti,1000
77,13,더 달게,0
78,4,HOT,0
78,1,Tall,0
78,11,기본,0
79,5,ICE,0
79,2,Grande,500
79,13,더 달게,0
79,10,휘핑크림 추가,500
80,4,HOT,0
80,2,Grande,500
81,5,ICE,0
81,1,Tall,0
82,4,HOT,0
82,1,Tall,0
82,11,기본,0
82,6,샷 추가 (+1),500
83,5,ICE,0
83,2,Grande,500
83,13,더 달게,0
83,7,바닐라 시럽,300
84,4,HOT,0
84,1,Tall,0
84,11,기본,0
85,4,HOT,0
85,2,Grande,500
86,4,HOT,0
86,1,Tall,0
86,11,기본,0
87,4,HOT,0
87,1,Tall,0
87,12,덜 달게,0
87,8,헤이즐넛 시럽,300
88,4,HOT,0
88,2,Grande,500
88,11,기본,0
88,8,헤이즐넛 시럽,300
89,5,ICE,0
89,1,Tall,0
89,11,기본,0
89,6,샷 추가 (+1),500
90,5,ICE,0
90,2,Grande,500
90,6,샷 추가 (+1),500
91,5,ICE,0
91,3,Venti,1000
91,11,기본,0
91,6,샷 추가 (+1),500
92,4,HOT,0
92,2,Grande,500
92,12,덜 달게,0
92,6,샷 추가 (+1),500
92,9,카라멜 시럽,300
93,5,ICE,0
93,1,Tall,0
93,11,기본,0
94,4,HOT,0
