id,session_id,created_at,preferred_category,recommendation_type,recommended_menu_id,was_clicked,led_to_order
1,9,2025-04-16 12:53:00,tea,situation,31,1,0
2,10,2025-10-12 17:08:00,latte,situation,10,0,0
3,10,2025-10-12 17:08:00,tea,situation,29,0,0
4,15,2025-08-31 17:59:00,americano,situation,3,0,0
5,17,2025-09-12 09:29:00,tea,suggest,16,0,0
6,17,2025-09-12 09:29:00,coldbrew,suggest,8,0,0
7,20,2025-01-29 11:46:00,latte,situation,4,1,0
8,23,2025-01-16 13:47:00,smoothie,situation,21,1,1
9,23,2025-01-16 13:47:00,tea,situation,30,0,0
10,27,2025-05-02 11:57:00,tea,situation,30,1,1
11,28,2025-07-18 19:26:00,ade,situation,24,1,1
12,39,2025-03-14 15:25:00,latte,suggest,4,1,0
13,40,2025-07-27 08:42:00,americano,suggest,3,1,1
14,56,2025-10-14 13:32:00,ade,situation,18,1,1
15,62,2025-07-10 08:36:00,tea,suggest,15,1,1
16,63,2025-10-13 15:26:00,smoothie,situation,20,0,0
17,68,2025-10-18 11:20:00,drip,situation,9,0,0
18,68,2025-10-18 11:20:00,latte,situation,10,0,0
19,74,2025-01-17 22:55:00,tea,situation,31,1,0
20,82,2025-01-26 08:42:00,frappe,situation,26,1,0
21,132,2025-09-27 20:30:00,tea,suggest,31,0,0
22,141,2025-11-07 15:41:00,ade,situation,24,0,0
23,141,2025-11-07 15:41:00,frappe,suggest,25,0,0
24,142,2025-12-30 17:51:00,frappe,suggest,12,1,1
25,142,2025-12-30 17:51:00,coldbrew,situation,8,1,1
26,147,2025-09-10 09:40:00,ade,suggest,18,0,0
27,149,2025-07-15 19:24:00,latte,suggest,5,1,0
28,149,2025-07-15 19:24:00,drip,situation,9,0,0
29,153,2025-07-07 13:55:00,espresso,suggest,1,0,0
30,155,2025-03-07 21:15:00,coldbrew,suggest,8,0,0
31,170,2025-02-10 13:44:00,ade,suggest,18,0,0
32,170,2025-02-10 13:44:00,latte,situation,11,0,0
33,177,2025-01-11 11:52:00,drip,situation,9,0,0
34,177,2025-01-11 11:52:00,latte,situation,5,1,1
35,180,2025-12-07 08:09:00,cappuccino,situation,6,1,1
36,180,2025-12-07 08:09:00,tea,situation,30,1,0
37,184,2025-04-21 13:55:00,latte,suggest,4,0,0
38,199,2025-04-16 15:38:00,tea,situation,30,1,1
39,202,2025-04-15 22:46:00,tea,suggest,15,1,0
40,218,2025-06-22 09:58:00,latte,situation,11,0,0
41,219,2025-10-30 15:23:00,latte,situation,10,0,0
42,221,2025-05-21 15:09:00,smoothie,situation,20,1,1
43,223,2025-03-04 15:46:00,frappe,situation,25,0,0
44,225,2025-02-06 09:53:00,tea,situation,31,0,0
45,227,2025-08-11 11:55:00,latte,suggest,4,0,0
46,232,2025-06-21 15:58:00,latte,suggest,11,0,0
47,234,2025-10-20 20:24:00,smoothie,situation,32,1,1
48,234,2025-10-20 20:24:00,frappe,situation,13,0,0
49,241,2025-10-15 07:34:00,tea,situation,31,1,1
50,262,2025-11-14 20:58:00,ade,situation,19,0,0
51,262,2025-11-14 20:58:00,tea,situation,15,1,1
52,266,2025-02-15 17:26:00,smoothie,situation,32,0,0
53,266,2025-02-15 17:26:00,smoothie,situation,21,1,0
54,277,2025-07-13 12:19:00,tea,situation,29,1,1
55,287,2025-10-17 09:11:00,latte,situation,11,1,1
56,292,2025-06-03 18:54:00,tea,situation,30,1,1
57,292,2025-06-03 18:54:00,ade,suggest,19,0,0
58,294,2025-11-03 18:46:00,frappe,situation,26,1,0
59,324,2025-01-25 13:42:00,tea,suggest,28,0,0
60,324,2025-01-25 13:42:00,espresso,situation,1,0,0
61,331,2025-07-02 14:32:00,ade,situation,24,1,0
62,347,2025-06-11 13:40:00,non-coffee,situation,14,0,0
63,348,2025-08-05 09:48:00,drip,situation,9,1,0
64,348,2025-08-05 09:48:00,tea,suggest,16,1,0
65,362,2025-07-17 22:55:00,frappe,situation,25,1,1
66,362,2025-07-17 22:55:00,tea,situation,17,1,1
67,374,2025-01-02 12:00:00,americano,suggest,3,1,1
68,376,2025-09-24 20:30:00,frappe,situation,26,1,1
69,386,2025-10-28 11:02:00,tea,situation,30,0,0
70,386,2025-10-28 11:02:00,smoothie,situation,21,1,1
71,390,2025-09-18 17:50:00,frappe,situation,26,1,1
72,392,2025-10-21 17:39:00,frappe,suggest,13,0,0
73,399,2025-09-21 15:22:00,latte,situation,4,0,0
74,400,2025-04-18 14:35:00,smoothie,situation,20,1,1
75,402,2025-09-18 09:35:00,coldbrew,situation,7,0,0
76,405,2025-04-03 19:51:00,tea,situation,16,0,0
77,408,2025-06-21 08:22:00,latte,suggest,11,1,1
78,427,2025-11-11 08:59:00,ade,situation,19,0,0
79,427,2025-11-11 08:59:00,americano,situation,3,1,1
80,440,2025-02-20 14:29:00,tea,suggest,29,0,0
81,442,2025-04-06 15:43:00,smoothie,situation,32,0,0
82,442,2025-04-06 15:43:00,tea,situation,17,1,1
83,444,2025-05-19 17:35:00,latte,situation,11,1,0
84,449,2025-08-05 18:22:00,smoothie,suggest,21,0,0
85,454,2025-08-25 19:24:00,tea,situation,28,1,1
86,469,2025-11-10 16:48:00,latte,situation,11,1,1
87,472,2025-10-26 08:46:00,tea,situation,30,1,1
88,479,2025-11-21 14:49:00,ade,situation,18,1,0
89,488,2025-04-10 18:44:00,latte,situation,4,1,1
90,492,2025-07-24 18:41:00,coldbrew,situation,8,1,0
91,492,2025-07-24 18:41:00,tea,situation,27,0,0
92,497,2025-04-20 07:42:00,ade,situation,18,1,1
93,497,2025-04-20 07:42:00,drip,situation,9,1,1
94,498,2025-01-21 09:20:00,americano,suggest,2,1,1
95,507,2025-09-08 16:14:00,latte,suggest,11,1,1
96,515,2025-03-23 16:07:00,juice,suggest,22,1,1
97,515,2025-03-23 16:07:00,non-coffee,situation,14,1,0
98,524,2025-02-15 07:16:00,non-coffee,situation,14,1,0
99,526,2025-11-19 09:56:00,coldbrew,situation,8,1,1
100,527,2025-12-22 08:23:00,non-coffee,situation,14,1,1
101,541,2025-12-06 08:15:00,americano,situation,2,0,0
102,547,2025-08-04 17:39:00,smoothie,suggest,20,0,0
103,547,2025-08-04 17:39:00,frappe,situation,25,0,0
104,557,2025-06-11 15:48:00,juice,suggest,22,1,0
105,563,2025-06-19 21:07:00,drip,situation,9,1,1
106,563,2025-06-19 21:07:00,tea,situation,29,1,1
107,573,2025-03-09 18:17:00,ade,situation,18,1,0
108,574,2025-06-26 09:35:00,americano,suggest,2,1,1
109,580,2025-02-22 18:03:00,tea,situation,31,1,1
110,581,2025-09-13 15:29:00,juice,suggest,22,0,0
111,598,2025-02-19 15:05:00,smoothie,situation,21,0,0
112,600,2025-11-11 14:29:00,frappe,situation,26,0,0
113,603,2025-04-17 15:26:00,ade,situation,19,0,0
114,621,2025-01-20 14:32:00,americano,situation,3,0,0
115,630,2025-05-22 07:47:00,tea,situation,29,1,0
116,633,2025-07-25 20:17:00,frappe,situation,13,0,0
117,638,2025-06-06 14:38:00,latte,suggest,4,0,0
118,642,2025-12-20 18:25:00,americano,situation,2,0,0
119,645,2025-06-21 12:39:00,cappuccino,situation,6,1,1
120,652,2025-05-26 16:45:00,frappe,situation,25,1,0
121,656,2025-07-02 07:30:00,frappe,situation,26,0,0
122,657,2025-04-30 16:23:00,ade,situation,24,0,0
123,660,2025-11-30 16:40:00,non-coffee,situation,14,0,0
124,662,2025-07-04 17:03:00,ade,situation,19,0,0
125,668,2025-09-27 15:22:00,smoothie,suggest,32,1,1
126,668,2025-09-27 15:22:00,tea,situation,28,1,0
127,684,2025-02-25 09:15:00,latte,situation,11,1,0
128,686,2025-05-16 20:20:00,latte,situation,4,0,0
