sex,age_10,job_group,area_group,count,prob
남,20대,기타직업,5대광역시,10,0.005
남,20대,기타직업,기타지역,7,0.0035
남,20대,기타직업,서울,11,0.0055
남,20대,기타직업,서울외수도권,8,0.004
남,20대,대학(원)생,5대광역시,7,0.0035
남,20대,대학(원)생,기타지역,3,0.0015
남,20대,대학(원)생,서울,5,0.0025
남,20대,대학(원)생,서울외수도권,4,0.002
남,20대,전업주부,5대광역시,3,0.0015
남,20대,전업주부,기타지역,4,0.002
남,20대,전업주부,서울,3,0.0015
남,20대,전업주부,서울외수도권,3,0.0015
남,20대,직장인,5대광역시,34,0.017
남,20대,직장인,기타지역,35,0.0175
남,20대,직장인,서울,37,0.0185
남,20대,직장인,서울외수도권,34,0.017
남,30대,기타직업,5대광역시,14,0.007
남,30대,기타직업,기타지역,10,0.005
남,30대,기타직업,서울,10,0.005
남,30대,기타직업,서울외수도권,10,0.005
남,30대,대학(원)생,5대광역시,5,0.0025
남,30대,대학(원)생,기타지역,8,0.004
남,30대,대학(원)생,서울,10,0.005
남,30대,대학(원)생,서울외수도권,7,0.0035
남,30대,전업주부,5대광역시,7,0.0035
남,30대,전업주부,기타지역,6,0.003
남,30대,전업주부,서울,6,0.003
남,30대,전업주부,서울외수도권,9,0.0045
남,30대,직장인,5대광역시,28,0.014
남,30대,직장인,기타지역,29,0.0145
남,30대,직장인,서울,30,0.015
남,30대,직장인,서울외수도권,54,0.027
남,40대,기타직업,5대광역시,5,0.0025
남,40대,기타직업,기타지역,11,0.0055
남,40대,기타직업,서울,11,0.0055
남,40대,기타직업,서울외수도권,10,0.005
남,40대,대학(원)생,5대광역시,7,0.0035
남,40대,대학(원)생,기타지역,1,0.0005
남,40대,대학(원)생,서울,4,0.002
남,40대,대학(원)생,서울외수도권,7,0.0035
남,40대,전업주부,5대광역시,8,0.004
남,40대,전업주부,기타지역,12,0.006
남,40대,전업주부,서울,8,0.004
남,40대,전업주부,서울외수도권,3,0.0015
남,40대,직장인,5대광역시,34,0.017
남,40대,직장인,기타지역,43,0.0215
남,40대,직장인,서울,50,0.025
남,40대,직장인,서울외수도권,56,0.028
남,50대,기타직업,5대광역시,14,0.007
남,50대,기타직업,기타지역,10,0.005
남,50대,기타직업,서울,15,0.0075
남,50대,기타직업,서울외수도권,18,0.009
남,50대,대학(원)생,5대광역시,9,0.0045
남,50대,대학(원)생,기타지역,13,0.0065
남,50대,대학(원)생,서울,6,0.003
남,50대,대학(원)생,서울외수도권,5,0.0025
남,50대,전업주부,5대광역시,3,0.0015
남,50대,전업주부,기타지역,6,0.003
남,50대,전업주부,서울,10,0.005
남,50대,전업주부,서울외수도권,10,0.005
남,50대,직장인,5대광역시,39,0.0195
남,50대,직장인,기타지역,50,0.025
남,50대,직장인,서울,42,0.021
남,50대,직장인,서울외수도권,53,0.0265
남,50대,청소년,기타지역,1,0.0005
남,50대,청소년,서울,1,0.0005
여,20대,기타직업,5대광역시,7,0.0035
여,20대,기타직업,기타지역,5,0.0025
여,20대,기타직업,서울,9,0.0045
여,20대,기타직업,서울외수도권,14,0.007
여,20대,대학(원)생,5대광역시,2,0.001
여,20대,대학(원)생,기타지역,3,0.0015
여,20대,대학(원)생,서울,3,0.0015
여,20대,대학(원)생,서울외수도권,4,0.002
여,20대,전업주부,5대광역시,4,0.002
여,20대,전업주부,기타지역,5,0.0025
여,20대,전업주부,서울,6,0.003
여,20대,전업주부,서울외수도권,9,0.0045
여,20대,직장인,5대광역시,26,0.013
여,20대,직장인,기타지역,36,0.018
여,20대,직장인,서울,32,0.016
여,20대,직장인,서울외수도권,27,0.0135
여,30대,기타직업,5대광역시,9,0.0045
여,30대,기타직업,기타지역,12,0.006
여,30대,기타직업,서울,8,0.004
여,30대,기타직업,서울외수도권,9,0.0045
여,30대,대학(원)생,5대광역시,5,0.0025
여,30대,대학(원)생,기타지역,6,0.003
여,30대,대학(원)생,서울,7,0.0035
여,30대,대학(원)생,서울외수도권,6,0.003
여,30대,전업주부,5대광역시,4,0.002
여,30대,전업주부,기타지역,6,0.003
여,30대,전업주부,서울,4,0.002
여,30대,전업주부,서울외수도권,3,0.0015
여,30대,직장인,5대광역시,33,0.0165
여,30대,직장인,기타지역,29,0.0145
여,30대,직장인,서울,39,0.0195
여,30대,직장인,서울외수도권,41,0.0205
여,30대,청소년,기타지역,1,0.0005
여,40대,기타직업,5대광역시,8,0.004
여,40대,기타직업,기타지역,13,0.0065
여,40대,기타직업,서울,9,0.0045
여,40대,기타직업,서울외수도권,17,0.0085
여,40대,대학(원)생,5대광역시,4,0.002
여,40대,대학(원)생,기타지역,6,0.003
여,40대,대학(원)생,서울,4,0.002
여,40대,대학(원)생,서울외수도권,7,0.0035
여,40대,전업주부,5대광역시,7,0.0035
여,40대,전업주부,기타지역,5,0.0025
여,40대,전업주부,서울,4,0.002
여,40대,전업주부,서울외수도권,10,0.005
여,40대,직장인,5대광역시,42,0.021
여,40대,직장인,기타지역,37,0.0185
여,40대,직장인,서울,43,0.0215
여,40대,직장인,서울외수도권,45,0.0225
여,50대,기타직업,5대광역시,16,0.008
여,50대,기타직업,기타지역,12,0.006
여,50대,기타직업,서울,20,0.01
여,50대,기타직업,서울외수도권,17,0.0085
여,50대,대학(원)생,5대광역시,3,0.0015
여,50대,대학(원)생,기타지역,8,0.004
여,50대,대학(원)생,서울,5,0.0025
여,50대,대학(원)생,서울외수도권,8,0.004
여,50대,전업주부,5대광역시,7,0.0035
여,50대,전업주부,기타지역,8,0.004
여,50대,전업주부,서울,4,0.002
여,50대,전업주부,서울외수도권,5,0.0025
여,50대,직장인,5대광역시,49,0.0245
여,50대,직장인,기타지역,33,0.0165
여,50대,직장인,서울,43,0.0215
여,50대,직장인,서울외수도권,61,0.0305
