menu,time_period,P_menu_given_time,joint_count,time_count
스무디프라페,주말밤,0.6794871794871795,53,78
스무디프라페,주말아침,0.6666666666666666,38,57
스무디프라페,주말오전,0.6274509803921569,160,255
스무디프라페,주말오후,0.6487025948103793,325,501
스무디프라페,주말저녁,0.628,157,250
스무디프라페,주말점심,0.6474820143884892,270,417
스무디프라페,평일밤,0.6742424242424242,89,132
스무디프라페,평일아침,0.6698717948717948,209,312
스무디프라페,평일오전,0.6923076923076923,279,403
스무디프라페,평일오후,0.6575091575091575,359,546
스무디프라페,평일저녁,0.6436567164179104,345,536
스무디프라페,평일점심,0.6540469973890339,501,766
아이스크림커피,주말밤,0.4230769230769231,33,78
아이스크림커피,주말아침,0.43859649122807015,25,57
아이스크림커피,주말오전,0.4,102,255
아이스크림커피,주말오후,0.3912175648702595,196,501
아이스크림커피,주말저녁,0.38,95,250
아이스크림커피,주말점심,0.37889688249400477,158,417
아이스크림커피,평일밤,0.4696969696969697,62,132
아이스크림커피,평일아침,0.4230769230769231,132,312
아이스크림커피,평일오전,0.38461538461538464,155,403
아이스크림커피,평일오후,0.39194139194139194,214,546
아이스크림커피,평일저녁,0.4197761194029851,225,536
아이스크림커피,평일점심,0.3877284595300261,297,766
에스프레소베이스,주말밤,1.0,78,78
에스프레소베이스,주말아침,1.0,57,57
에스프레소베이스,주말오전,1.0,255,255
에스프레소베이스,주말오후,1.0,501,501
에스프레소베이스,주말저녁,1.0,250,250
에스프레소베이스,주말점심,1.0,417,417
에스프레소베이스,평일밤,1.0,132,132
에스프레소베이스,평일아침,1.0,312,312
에스프레소베이스,평일오전,1.0,403,403
에스프레소베이스,평일오후,1.0,546,546
에스프레소베이스,평일저녁,1.0,536,536
에스프레소베이스,평일점심,1.0,766,766
우유베이스커피,주말밤,0.9487179487179487,74,78
우유베이스커피,주말아침,0.8421052631578947,48,57
우유베이스커피,주말오전,0.9529411764705882,243,255
우유베이스커피,주말오후,0.9181636726546906,460,501
우유베이스커피,주말저녁,0.928,232,250
우유베이스커피,주말점심,0.9112709832134293,380,417
우유베이스커피,평일밤,0.9318181818181818,123,132
우유베이스커피,평일아침,0.9391025641025641,293,312
우유베이스커피,평일오전,0.9280397022332506,374,403
우유베이스커피,평일오후,0.945054945054945,516,546
우유베이스커피,평일저녁,0.9197761194029851,493,536
우유베이스커피,평일점심,0.9164490861618799,702,766
우유베이스티,주말밤,0.6153846153846154,48,78
우유베이스티,주말아침,0.5789473684210527,33,57
우유베이스티,주말오전,0.5647058823529412,144,255
우유베이스티,주말오후,0.5389221556886228,270,501
우유베이스티,주말저녁,0.564,141,250
우유베이스티,주말점심,0.5179856115107914,216,417
우유베이스티,평일밤,0.5833333333333334,77,132
우유베이스티,평일아침,0.5705128205128205,178,312
우유베이스티,평일오전,0.49627791563275436,200,403
우유베이스티,평일오후,0.554945054945055,303,546
우유베이스티,평일저녁,0.542910447761194,291,536
우유베이스티,평일점심,0.5221932114882507,400,766
주스에이드,주말밤,0.6794871794871795,53,78
주스에이드,주말아침,0.5789473684210527,33,57
주스에이드,주말오전,0.5215686274509804,133,255
주스에이드,주말오후,0.5209580838323353,261,501
주스에이드,주말저녁,0.556,139,250
주스에이드,주말점심,0.5467625899280576,228,417
주스에이드,평일밤,0.5,66,132
주스에이드,평일아침,0.5865384615384616,183,312
주스에이드,평일오전,0.5459057071960298,220,403
주스에이드,평일오후,0.5476190476190477,299,546
주스에이드,평일저녁,0.5410447761194029,290,536
주스에이드,평일점심,0.5469973890339426,419,766
티차류,주말밤,0.6153846153846154,48,78
티차류,주말아침,0.49122807017543857,28,57
티차류,주말오전,0.49019607843137253,125,255
티차류,주말오후,0.47305389221556887,237,501
티차류,주말저녁,0.516,129,250
티차류,주말점심,0.5083932853717026,212,417
티차류,평일밤,0.5681818181818182,75,132
티차류,평일아침,0.532051282051282,166,312
티차류,평일오전,0.4838709677419355,195,403
티차류,평일오후,0.4945054945054945,270,546
티차류,평일저녁,0.5018656716417911,269,536
티차류,평일점심,0.4804177545691906,368,766
