session_uuid,kiosk_id,started_at,ended_at,estimated_gender,estimated_age_group,end_reason,is_simple_mode,help_triggered,status
session_c38b8f95a5058a05d5018fce,1,2023-01-01T07:01:11,2023-01-01T07:14:11,M,40~49,order_completed,0,0,ended
session_0cb4e0dd6cc5c82f5d1e22f6,1,2023-01-01T07:17:24,2023-01-01T07:42:24,F,40~49,order_completed,0,0,ended
session_882da1e64ef192a6d455e842,1,2023-01-01T07:15:49,2023-01-01T07:48:49,M,30~39,order_completed,0,0,ended
session_deb7b6eefea2a1e7f899ff11,1,2023-01-01T07:23:34,2023-01-01T07:50:34,M,20~29,order_completed,0,0,ended
session_d4b9ac204c122d166a7b9f4e,1,2023-01-01T07:37:13,2023-01-01T07:48:13,F,20~29,order_completed,0,0,ended
session_f3a6206a169c84702f17630f,1,2023-01-01T07:37:35,2023-01-01T07:51:35,M,40~49,order_completed,0,0,ended
session_cc348374a65ab4651671d0fa,1,2023-01-01T07:41:36,2023-01-01T08:04:36,M,20~29,order_completed,0,0,ended
session_0fc5fe6bfd6cdd2f13c330b8,1,2023-01-01T08:09:27,2023-01-01T08:23:27,F,40~49,order_completed,0,0,ended
session_59cb10d6f3b49259ecb0a4a2,1,2023-01-01T08:24:23,2023-01-01T08:53:23,F,30~39,order_completed,0,0,ended
session_cca46bf90932e8d903854824,1,2023-01-01T08:35:57,2023-01-01T08:47:57,M,20~29,order_completed,0,0,ended
session_9b4f3c71a2c7c9c4c1ea996b,1,2023-01-01T08:45:03,2023-01-01T09:01:03,F,50+,order_completed,0,0,ended
session_8e135679d88ed836d62a7bd8,1,2023-01-01T08:40:32,2023-01-01T09:16:32,M,30~39,order_completed,0,0,ended
session_d6bac070705711481d24fe3c,1,2023-01-01T08:49:33,2023-01-01T09:03:33,F,20~29,order_completed,0,0,ended
session_3c946d3acc92fee684fc9d6a,1,2023-01-01T08:46:27,2023-01-01T09:07:27,M,30~39,order_completed,0,0,ended
session_e9dd2107e70c379155a62f37,1,2023-01-01T08:53:55,2023-01-01T09:03:55,F,40~49,order_completed,0,0,ended
session_847f8ac25d38cdfda28b9a76,1,2023-01-01T08:49:24,2023-01-01T09:14:24,M,40~49,order_completed,0,0,ended
session_384b0d3ab00d731867ee2cc2,1,2023-01-01T08:59:13,2023-01-01T09:16:13,M,40~49,order_completed,0,0,ended
session_524e3da22a1364e074e56a24,1,2023-01-01T09:08:17,2023-01-01T09:36:17,M,20~29,order_completed,0,0,ended
session_3a97a6a4e55901708796e369,1,2023-01-01T09:10:41,2023-01-01T09:34:41,F,30~39,order_completed,0,0,ended
session_5b333a00935b193306df7a27,1,2023-01-01T09:15:21,2023-01-01T09:43:21,F,30~39,order_completed,0,0,ended
session_1c2c31369412ebc0568c8218,1,2023-01-01T09:13:08,2023-01-01T09:37:08,F,20~29,order_completed,0,0,ended
session_9933d78d8c8bf2d71f368476,1,2023-01-01T09:12:46,2023-01-01T09:26:46,M,30~39,order_completed,0,0,ended
session_89e6f170e25d8c4000f6c101,1,2023-01-01T09:23:56,2023-01-01T09:53:56,M,40~49,order_completed,0,0,ended
session_cceae5c60dee254f1070d86a,1,2023-01-01T09:32:17,2023-01-01T09:46:17,M,30~39,order_completed,0,0,ended
session_7bd357d0b92fb6dd8c7212ab,1,2023-01-01T09:28:13,2023-01-01T10:00:13,F,50+,order_completed,1,0,ended
session_e17934fa6f70b3e423ae4804,1,2023-01-01T09:34:46,2023-01-01T10:04:46,M,40~49,order_completed,0,0,ended
session_10fc7d6d90769b16f8ff326e,1,2023-01-01T09:40:46,2023-01-01T09:57:46,F,50+,order_completed,1,0,ended
session_6ecebd9370d7488c1bae9cd4,1,2023-01-01T09:44:40,2023-01-01T10:06:40,F,20~29,order_completed,0,0,ended
session_2b0fadd434da6a0dd869716f,1,2023-01-01T09:46:44,2023-01-01T09:58:44,F,40~49,order_completed,0,0,ended
session_32af046c2f99650c87448f19,1,2023-01-01T09:43:44,2023-01-01T10:16:44,F,40~49,order_completed,0,0,ended
session_457d89100e796a16fa15690c,1,2023-01-01T09:48:49,2023-01-01T10:06:49,M,30~39,order_completed,0,0,ended
session_e9ab01ffbdf1e68dca0aa799,1,2023-01-01T09:44:46,2023-01-01T10:12:46,F,30~39,order_completed,0,0,ended
session_2e4cd8c1f4fd917e084105b7,1,2023-01-01T09:45:30,2023-01-01T10:17:30,M,20~29,order_completed,0,0,ended
session_a563e42ed0a649fe2eafa4d7,1,2023-01-01T09:48:39,2023-01-01T10:05:39,M,20~29,order_completed,0,0,ended
session_d8da3bda147fc37c60165658,1,2023-01-01T09:53:55,2023-01-01T10:14:55,M,20~29,order_completed,0,0,ended
session_dd2e4c7fe62958000268afca,1,2023-01-01T10:03:49,2023-01-01T10:36:49,F,20~29,order_completed,0,0,ended
session_800f7f7753d854b71f0287ea,1,2023-01-01T10:11:30,2023-01-01T10:23:30,F,30~39,order_completed,0,0,ended
session_11fe76c383a314b13697a8bc,1,2023-01-01T10:09:14,2023-01-01T10:23:14,M,20~29,order_completed,0,0,ended
