order_uuid,session_id,created_at,total_price,status,used_recommendation
order_356a192b7913b04c54574d18,1,2023-01-01T07:06:11,10000,completed,False
order_1b6453892473a467d07372d4,2,2023-01-01T07:20:24,5000,completed,False
order_902ba3cda1883801594b6e1b,3,2023-01-01T07:25:49,5000,completed,False
order_fe5dbbcea5ce7e2988b8c69b,4,2023-01-01T07:33:34,10000,completed,False
order_0ade7c2cf97f75d009975f4d,5,2023-01-01T07:39:13,5200,completed,False
order_7b52009b64fd0a2a49e6d8a9,6,2023-01-01T07:44:35,10000,completed,False
order_f1abd670358e036c31296e66,7,2023-01-01T07:52:36,16000,completed,False
order_472b07b9fcf2c2451e8781e9,8,2023-01-01T08:17:27,10000,completed,False
order_f6e1126cedebf23e1463aee7,9,2023-01-01T08:31:23,5200,completed,False
order_22d200f8670dbdb3e253a90e,10,2023-01-01T08:41:57,10400,completed,False
order_632667547e7cd3e046654786,11,2023-01-01T08:52:03,5200,completed,False
order_cb4e5208b4cd87268b208e49,12,2023-01-01T08:52:32,5000,completed,False
order_b6692ea5df920cad691c2031,13,2023-01-01T08:54:33,10000,completed,False
order_f1f836cb4ea6efb2a0b1b99f,14,2023-01-01T08:56:27,10000,completed,False
order_fc074d501302eb2b93e25547,15,2023-01-01T08:58:55,5000,completed,False
order_5b384ce32d8cdef02bc3a139,16,2023-01-01T09:00:24,10400,completed,True
order_761f22b2c1593d0bb87e0b60,17,2023-01-01T09:08:13,5000,completed,False
order_2e01e17467891f7c933dbaa0,18,2023-01-01T09:14:17,5000,completed,False
order_b7eb6c689c037217079766fd,19,2023-01-01T09:14:41,5000,completed,False
order_80e28a51cbc26fa4bd34938c,20,2023-01-01T09:19:21,10000,completed,False
order_54ceb91256e8190e474aa752,21,2023-01-01T09:21:08,5200,completed,False
order_667be543b02294b7624119ad,22,2023-01-01T09:22:46,5000,completed,False
order_5a5b0f9b7d3f8fc84c3cef8f,23,2023-01-01T09:29:56,10000,completed,False
order_511a418e72591eb7e33f703f,24,2023-01-01T09:34:17,10400,completed,False
order_a17554a0d2b15a664c0e7390,25,2023-01-01T09:40:13,5200,completed,False
order_4d89d294cd4ca9f2ca57dc24,26,2023-01-01T09:44:46,5000,completed,False
order_b4c96d80854dd27e76d8cc9e,27,2023-01-01T09:46:46,8000,completed,False
order_a72b20062ec2c47ab2ceb97a,28,2023-01-01T09:47:40,10400,completed,False
order_b7103ca278a75cad8f7d065a,29,2023-01-01T09:50:44,8000,completed,False
order_1f1362ea41d1bc65be321c0a,30,2023-01-01T09:53:44,10400,completed,False
order_d54ad009d179ae346683cfc3,31,2023-01-01T09:53:49,5000,completed,False
order_d321d6f7ccf98b51540ec9d9,32,2023-01-01T09:54:46,5000,completed,False
order_b74f5ee9461495ba5ca4c72a,33,2023-01-01T09:56:30,5000,completed,False
order_b888b29826bb53dc531437e7,34,2023-01-01T10:00:39,10000,completed,True
order_1d513c0bcbe33b2e7440e5e1,35,2023-01-01T10:03:55,10000,completed,False
order_76546f9a641ede2beab506b9,36,2023-01-01T10:14:49,5000,completed,False
order_be461a0cd1fda052a69c3fd9,37,2023-01-01T10:16:30,10000,completed,False
order_3c26dffc8a2e8804dfe2c8a1,38,2023-01-01T10:18:14,10400,completed,False
order_e62d7f1eb43d87c202d2f164,39,2023-01-01T10:18:52,10000,completed,True
order_b37f6ddcefad7e8657837d31,40,2023-01-01T10:19:42,10000,completed,False
order_215bb47da8fac3342b858ac3,41,2023-01-01T10:30:07,5000,completed,False
order_31bd9b9f5f7b338e41b56183,42,2023-01-01T10:47:53,10000,completed,False
order_c8306ae139ac98f432932286,43,2023-01-01T10:52:44,10000,completed,False
order_78a8efcbaaa1a9a30f9f327a,44,2023-01-01T10:56:14,5200,completed,True
order_7224f997fc148baa0b7f81c1,45,2023-01-01T11:01:48,5000,completed,False
order_524e05dc77239f3a15dab766,46,2023-01-01T11:01:58,5200,completed,False
order_6216f8a75fd5bb3d5f22b6f9,47,2023-01-01T11:04:32,10400,completed,True
order_40bd001563085fc35165329e,48,2023-01-01T11:23:01,5000,completed,False
order_008451a05e1e7aa32c75119d,49,2023-01-01T11:25:37,10400,completed,False
order_8b7471f4ae0bf59f5f0a4250,50,2023-01-01T11:28:29,10000,completed,True
order_e794a80eb109162d579df51d,51,2023-01-01T11:29:57,10000,completed,False
order_d30f79cf7fef47bd7a561171,52,2023-01-01T11:30:22,5000,completed,False
order_95e815d1541bf6f358cfffbe,53,2023-01-01T11:31:35,5000,completed,False
order_2a2b47bf21a372f267deccbb,54,2023-01-01T11:43:57,10000,completed,False
order_f47aea8bdcbd1179a1f3d91e,55,2023-01-01T11:44:09,5200,completed,False
order_7320828c9153b2a9848d6bc4,56,2023-01-01T11:47:13,5000,completed,False
order_536fb6934062440c464ca2ee,57,2023-01-01T11:50:16,10000,completed,False
order_39dfc9ffd3253c48c9af5dd5,58,2023-01-01T11:50:23,10000,completed,False
order_b16a457a3302d7c1f4563df2,59,2023-01-01T11:51:30,10000,completed,False
order_a6f16ab483da9847d431a822,60,2023-01-01T11:57:17,8000,completed,True
order_097ccd4f03d962011101c122,61,2023-01-01T12:00:20,5000,completed,False
order_6b6277afcb65d33525545904,62,2023-01-01T12:01:20,10000,completed,False
order_0159a99ed28b0581890608d2,63,2023-01-01T12:03:09,5000,completed,False
order_a929eb33e338738d2a91e955,64,2023-01-01T12:04:22,10000,completed,False
order_708a77db476d737e54b8bf46,65,2023-01-01T12:07:42,5000,completed,True
order_2659fc519890c924f82b4475,66,2023-01-01T12:08:36,5000,completed,False
order_717b2f3d8816830549097908,67,2023-01-01T12:09:11,10000,completed,False
order_c1aa04bf421e5b38c3d18933,68,2023-01-01T12:13:07,10400,completed,False
order_572e20738130fddc7c389f2a,69,2023-01-01T12:14:26,10000,completed,False
order_04f1241ed2b1b531c2c853ce,70,2023-01-01T12:18:07,10000,completed,False
order_25293f2761d658cc70c19515,71,2023-01-01T12:23:39,5000,completed,False
order_9e44d2771c052d44058245ed,72,2023-01-01T12:27:06,10400,completed,False
order_aee544ceddfe7ab69a02f82b,73,2023-01-01T12:30:49,5200,completed,False
order_dc685e2c3fd7a3a63944383a,74,2023-01-01T12:33:35,10000,completed,False
order_bcf814ab41506290ab1b8158,75,2023-01-01T12:35:53,10000,completed,False
order_2fcc820fc1d95b1e8a3a219c,76,2023-01-01T12:45:52,10000,completed,True
order_14bb99f81147d2705f53a1d7,77,2023-01-01T12:46:26,5000,completed,False
order_2a79f14120945873482b7823,78,2023-01-01T12:46:55,5000,completed,False
order_4dea1daedbe9dc1d643b0f0e,79,2023-01-01T12:48:08,10400,completed,False
order_61188f24396807ba7ca38919,80,2023-01-01T12:49:48,5000,completed,False
order_2952aeca0fe15cf310ede96c,81,2023-01-01T12:50:28,10000,completed,False
order_5f1cd7c3fb68ae7c679f8c33,82,2023-01-01T12:53:11,10000,completed,False
order_4afa8f9e90756f0f919a124a,83,2023-01-01T12:53:59,4000,completed,False
order_1b4a364f76e9fa8073516100,84,2023-01-01T12:55:53,10000,completed,False
order_828f720439cefaeb3acc7a7b,85,2023-01-01T12:59:06,5000,completed,False
order_0bad865a02d82f4970687ffe,86,2023-01-01T13:00:38,10000,completed,True
order_49e3d046636e06b2d82ee046,87,2023-01-01T13:01:33,10000,completed,False
order_f37062d9a65543a46f2ba132,88,2023-01-01T13:02:52,5000,completed,False
order_1c6637a8f2e1f75e06ff9984,89,2023-01-01T13:04:01,10000,completed,False
order_c1a38b8a671f58b20d4079b6,90,2023-01-01T13:04:51,5000,completed,False
order_cad06f3c4901bbcd4a396dd8,91,2023-01-01T13:07:37,10000,completed,False
order_4c8205da3610a61583b64c7f,92,2023-01-01T13:09:03,5000,completed,False
order_2815f6b98b7a1fc00fc6bbb6,93,2023-01-01T13:12:03,10000,completed,False
order_3c331613a26f366446dd2bb9,94,2023-01-01T13:19:36,5000,completed,False
order_5b7d26c4d99b922929b7c30c,95,2023-01-01T13:19:56,10000,completed,False
order_584130e068c3f0f36bf0a7ef,96,2023-01-01T13:20:51,10000,completed,False
order_cae91e45aed80f3a3fe285c3,97,2023-01-01T13:21:23,10400,completed,False
order_9ffd1ae121c4f26fe7f0c45e,98,2023-01-01T13:22:11,5000,completed,False
order_3aed9b0313f9226111de8aea,99,2023-01-01T13:30:49,10000,completed,False
order_3464dc11507c600bbff7daec,100,2023-01-01T13:32:07,10000,completed,False
order_b4ef7df17d3dc74720cd2a8f,101,2023-01-01T13:32:34,8000,completed,True
order_ca3799b8ff860c55da009a56,102,2023-01-01T13:34:12,10000,completed,False
order_ee44c6bcc4e0dfae682057ba,103,2023-01-01T13:38:09,5000,completed,False
order_ba30fd97b4127db56e9f4d3d,104,2023-01-01T13:38:11,10400,completed,False
order_3028f51407d83338f72f994b,105,2023-01-01T13:42:49,5000,completed,False
order_09d66f6e5482d9b0ba91815c,106,2023-01-01T13:43:41,10000,completed,False
order_1106a1dda2d680438ecfb0bb,107,2023-01-01T13:47:51,5200,completed,False
order_065f8e41a20c940689359644,108,2023-01-01T13:49:03,10000,completed,False
order_45cbe19f37712e7f4e2fcfe2,109,2023-01-01T13:51:56,10000,completed,False
order_81ecfd4383a1b3f7805215da,110,2023-01-01T13:53:04,10400,completed,False
order_d5f0d9102728577dfc9eec0a,111,2023-01-01T13:53:31,5000,completed,False
order_9a61b86ecef7f4f8978d9027,112,2023-01-01T13:54:18,10000,completed,True
order_431bf3b995a99c2cd6899b97,113,2023-01-01T13:57:34,10000,completed,False
order_f333160e6b20ba37686da89b,114,2023-01-01T13:58:11,5000,completed,False
order_68b5193fd0f5308baac9d9ee,115,2023-01-01T13:59:58,10400,completed,True
order_1407c2b75f43d3691c240e28,116,2023-01-01T14:03:34,10000,completed,True
order_d8502b7d774861547d383436,117,2023-01-01T14:03:41,5000,completed,False
order_267b976f6f335984ab90f0f4,118,2023-01-01T14:07:12,10400,completed,False
order_3032a4beba0cc85ba6375669,119,2023-01-01T14:07:56,5000,completed,False
order_7f35419a058e19d2b75e962d,120,2023-01-01T14:08:03,5000,completed,False
order_b70706fdb0027063c33c00f7,121,2023-01-01T14:19:57,10000,completed,False
order_6b0f4d999089662690c5233e,122,2023-01-01T14:20:06,10000,completed,False
order_85f1002bf139bebdb7f0d07b,123,2023-01-01T14:22:38,10400,completed,True
order_a02b857f2eff73e8e188f355,124,2023-01-01T14:24:55,10400,completed,False
order_eb65e208b715d3b42fc535ae,125,2023-01-01T14:25:39,10000,completed,False
order_72c1975b93f0fff13952a520,126,2023-01-01T14:32:20,10000,completed,False
order_ae5ffa6599c837509139132e,127,2023-01-01T14:32:42,10400,completed,False
order_3e0f83cc51276227de3cfebc,128,2023-01-01T14:32:54,10400,completed,False
order_af53d4aa0b9131f18f841307,129,2023-01-01T14:36:23,10000,completed,False
order_97b31c942deab39118e64423,130,2023-01-01T14:39:06,8000,completed,False
order_6e21fce62b88ee824118ee6f,131,2023-01-01T14:39:48,10000,completed,False
order_a84c9aa070f9d126532293b8,132,2023-01-01T14:47:29,5000,completed,False
order_cb4dd52770e258826c4174c3,133,2023-01-01T14:55:34,10000,completed,False
order_914127d1002e9938e2e1ee54,134,2023-01-01T14:58:07,10000,completed,False
order_4296abf737c7b57969d073b5,135,2023-01-01T15:02:04,10400,completed,False
order_076e5a3a32038d0ba2d7e8fa,136,2023-01-01T15:02:28,5200,completed,False
order_5547f6312291149b2a326942,137,2023-01-01T15:06:27,10000,completed,False
order_a609bb8ab05a0d13db9eb1d0,138,2023-01-01T15:09:37,5000,completed,False
order_ef2afd226e3384e34d9833fe,139,2023-01-01T15:10:10,5200,completed,True
order_fffb8e85796e61b713c68833,140,2023-01-01T15:12:22,5000,completed,False
order_9c882d5c6a1aa240b2672dce,141,2023-01-01T15:14:19,10000,completed,False
order_0588f59014485510aac3bd9f,142,2023-01-01T15:16:37,10400,completed,False
order_6c41101fe24a8f80c8cb5178,143,2023-01-01T15:19:34,5000,completed,False
order_3e6bf6c89ba8a8b8b189f859,144,2023-01-01T15:21:05,10000,completed,False
order_8da4dabfaeb4a44681c9777c,145,2023-01-01T15:22:11,10400,completed,False
order_c415505dca69be631ca5d391,146,2023-01-01T15:24:01,5000,completed,False
order_89a1c105a4720482e52ae423,147,2023-01-01T15:30:27,10000,completed,True
order_0026476a20bfbd08714155bb,148,2023-01-01T15:30:58,5000,completed,False
order_efbc0848b836a9de4b0c18c9,149,2023-01-01T15:30:58,10000,completed,False
order_8ada660e06b787f245667943,150,2023-01-01T15:33:36,10000,completed,False
order_90af7edbfd8a161a7f711504,151,2023-01-01T15:34:10,10400,completed,False
order_86970064ea53b6d66b7c53cb,152,2023-01-01T15:36:59,8000,completed,False
order_2a5ac580e608daa6d2cd4b6c,153,2023-01-01T15:42:20,5000,completed,False
order_b6e7a22c25e9e7146913841b,154,2023-01-01T15:46:34,10400,completed,False
order_8d6f9131366dac0c298ee725,155,2023-01-01T15:51:15,10000,completed,True
order_15a17abee2bf17c4859db024,156,2023-01-01T15:52:23,10400,completed,False
order_a0d04378f37973ffa3b2aa8b,157,2023-01-01T15:53:55,10000,completed,False
order_b00168585f7b81b68f0ef02f,158,2023-01-01T15:55:45,5000,completed,True
order_f090932162756b798b1a050b,159,2023-01-01T15:55:50,10000,completed,True
order_5e06d22c8893e27d5a7243bd,160,2023-01-01T16:00:23,5200,completed,False
order_97705a95fdc2a4886f9b2406,161,2023-01-01T16:02:07,5200,completed,False
order_3554dce55f341edd431fc711,162,2023-01-01T16:03:30,10000,completed,False
order_4a0e88cf529fbbdc2c0a995b,163,2023-01-01T16:06:04,10000,completed,True
order_348763862f0a868bdc259181,164,2023-01-01T16:07:20,10000,completed,False
order_0d990fa9636db56c6349320a,165,2023-01-01T16:12:00,8000,completed,False
order_c829eb96cef056a9003d7ab5,166,2023-01-01T16:17:06,10000,completed,False
order_c30749cf5bc74c7c3a7e5c84,167,2023-01-01T16:17:52,10000,completed,False
order_00f7eea0d077127d2045e251,168,2023-01-01T16:19:00,10000,completed,False
order_8c4a0a7afbb10de1e63107ce,169,2023-01-01T16:19:26,10400,completed,True
order_b741f2520f68d7b8abfecea2,170,2023-01-01T16:20:07,10000,completed,False
order_855679730970f8a0fca717e8,171,2023-01-01T16:22:07,5000,completed,False
order_295df4a5051a775dd5a1e5a8,172,2023-01-01T16:22:38,5000,completed,False
order_4c629c4c340105f459661115,173,2023-01-01T16:29:36,10000,completed,False
order_0715d58c74869d445849a688,174,2023-01-01T16:30:12,5200,completed,False
order_b0c68924acc44f1f1ed598a8,175,2023-01-01T16:33:35,5000,completed,True
order_bc62305b6cff49d43aed5f65,176,2023-01-01T16:35:11,5000,completed,True
order_86cf294a07a8aa25f6a2d82a,177,2023-01-01T16:39:24,5000,completed,False
order_20387dbb740a1024dc09b567,178,2023-01-01T16:40:18,5000,completed,False
order_9ed4f29f8b6857ffe123d6e4,179,2023-01-01T16:41:51,5000,completed,False
order_329dc1daf9fb9d5e75d687dd,180,2023-01-01T16:56:48,5000,completed,False
order_5715aa02de07dc08f6197a58,181,2023-01-01T17:01:03,10000,completed,False
order_279e901e056c2d8c7d7cf626,182,2023-01-01T17:05:44,10000,completed,False
order_93ac1946cb917abc4735cdd1,183,2023-01-01T17:10:34,5000,completed,True
order_7a95563490d87e3621966d55,184,2023-01-01T17:11:58,10000,completed,False
order_1c76c42db69f242fdc8d813f,185,2023-01-01T17:13:17,10000,completed,False
order_020c4877362530fccadf006a,186,2023-01-01T17:16:17,5000,completed,False
order_77873674e5df0c6b070f8dd1,187,2023-01-01T17:17:22,5000,completed,False
order_7a698699a9229b278afa7259,188,2023-01-01T17:18:36,5000,completed,True
order_62866ab415331d03c03849c2,189,2023-01-01T17:19:08,10000,completed,False
