date,year,month,week,day_of_week,day_name,is_weekend,is_holiday,holiday_name,is_exam_period,exam_label,is_promo,promo_id,promo_name,promo_discount_pct,is_special_day
2025-01-01,2025,1,1,2,수,0,1,신정,0,,0,,,0,1
2025-01-02,2025,1,1,3,목,0,0,,0,,0,,,0,0
2025-01-03,2025,1,1,4,금,0,0,,0,,0,,,0,0
2025-01-04,2025,1,1,5,토,1,0,,0,,0,,,0,0
2025-01-05,2025,1,1,6,일,1,0,,0,,0,,,0,0
2025-01-06,2025,1,2,0,월,0,0,,0,,0,,,0,0
2025-01-07,2025,1,2,1,화,0,0,,0,,0,,,0,0
2025-01-08,2025,1,2,2,수,0,0,,0,,0,,,0,0
2025-01-09,2025,1,2,3,목,0,0,,0,,0,,,0,0
2025-01-10,2025,1,2,4,금,0,0,,0,,0,,,0,0
2025-01-11,2025,1,2,5,토,1,0,,0,,0,,,0,0
2025-01-12,2025,1,2,6,일,1,0,,0,,0,,,0,0
2025-01-13,2025,1,3,0,월,0,0,,0,,0,,,0,0
2025-01-14,2025,1,3,1,화,0,0,,0,,0,,,0,0
2025-01-15,2025,1,3,2,수,0,0,,0,,0,,,0,0
2025-01-16,2025,1,3,3,목,0,0,,0,,0,,,0,0
2025-01-17,2025,1,3,4,금,0,0,,0,,0,,,0,0
2025-01-18,2025,1,3,5,토,1,0,,0,,0,,,0,0
2025-01-19,2025,1,3,6,일,1,0,,0,,0,,,0,0
2025-01-20,2025,1,4,0,월,0,0,,0,,0,,,0,0
2025-01-21,2025,1,4,1,화,0,0,,0,,0,,,0,0
2025-01-22,2025,1,4,2,수,0,0,,0,,0,,,0,0
2025-01-23,2025,1,4,3,목,0,0,,0,,0,,,0,0
2025-01-24,2025,1,4,4,금,0,0,,0,,0,,,0,0
2025-01-25,2025,1,4,5,토,1,0,,0,,0,,,0,0
2025-01-26,2025,1,4,6,일,1,0,,0,,0,,,0,0
2025-01-27,2025,1,5,0,월,0,0,,0,,0,,,0,0
2025-01-28,2025,1,5,1,화,0,1,설날연휴,0,,0,,,0,1
2025-01-29,2025,1,5,2,수,0,1,설날,0,,0,,,0,1
2025-01-30,2025,1,5,3,목,0,1,설날연휴,0,,0,,,0,1
2025-01-31,2025,1,5,4,금,0,0,,0,,0,,,0,0
2025-02-01,2025,2,5,5,토,1,0,,0,,0,,,0,0
2025-02-02,2025,2,5,6,일,1,0,,0,,0,,,0,0
2025-02-03,2025,2,6,0,월,0,0,,0,,0,,,0,0
2025-02-04,2025,2,6,1,화,0,0,,0,,0,,,0,0
2025-02-05,2025,2,6,2,수,0,0,,0,,0,,,0,0
2025-02-06,2025,2,6,3,목,0,0,,0,,0,,,0,0
2025-02-07,2025,2,6,4,금,0,0,,0,,0,,,0,0
2025-02-08,2025,2,6,5,토,1,0,,0,,0,,,0,0
2025-02-09,2025,2,6,6,일,1,0,,0,,0,,,0,0
2025-02-10,2025,2,7,0,월,0,0,,0,,0,,,0,0
2025-02-11,2025,2,7,1,화,0,0,,0,,0,,,0,0
2025-02-12,2025,2,7,2,수,0,0,,0,,0,,,0,0
2025-02-13,2025,2,7,3,목,0,0,,0,,0,,,0,0
2025-02-14,2025,2,7,4,금,0,0,,0,,1,PROMO_VALENTINE,발렌타인데이,10,1
2025-02-15,2025,2,7,5,토,1,0,,0,,0,,,0,0
2025-02-16,2025,2,7,6,일,1,0,,0,,0,,,0,0
2025-02-17,2025,2,8,0,월,0,0,,0,,0,,,0,0
2025-02-18,2025,2,8,1,화,0,0,,0,,0,,,0,0
2025-02-19,2025,2,8,2,수,0,0,,0,,0,,,0,0
2025-02-20,2025,2,8,3,목,0,0,,0,,0,,,0,0
2025-02-21,2025,2,8,4,금,0,0,,0,,0,,,0,0
2025-02-22,2025,2,8,5,토,1,0,,0,,0,,,0,0
2025-02-23,2025,2,8,6,일,1,0,,0,,0,,,0,0
2025-02-24,2025,2,9,0,월,0,0,,0,,0,,,0,0
2025-02-25,2025,2,9,1,화,0,0,,0,,0,,,0,0
2025-02-26,2025,2,9,2,수,0,0,,0,,0,,,0,0
2025-02-27,2025,2,9,3,목,0,0,,0,,0,,,0,0
2025-02-28,2025,2,9,4,금,0,0,,0,,0,,,0,0
2025-03-01,2025,3,9,5,토,1,1,삼일절,0,,1,PROMO_SPRING,봄신메뉴출시,15,1
2025-03-02,2025,3,9,6,일,1,0,,0,,1,PROMO_SPRING,봄신메뉴출시,15,1
2025-03-03,2025,3,10,0,월,0,0,,0,,1,PROMO_SPRING,봄신메뉴출시,15,1
2025-03-04,2025,3,10,1,화,0,0,,0,,1,PROMO_SPRING,봄신메뉴출시,15,1
2025-03-05,2025,3,10,2,수,0,0,,0,,1,PROMO_SPRING,봄신메뉴출시,15,1
2025-03-06,2025,3,10,3,목,0,0,,0,,1,PROMO_SPRING,봄신메뉴출시,15,1
2025-03-07,2025,3,10,4,금,0,0,,0,,1,PROMO_SPRING,봄신메뉴출시,15,1
2025-03-08,2025,3,10,5,토,1,0,,0,,0,,,0,0
2025-03-09,2025,3,10,6,일,1,0,,0,,0,,,0,0
2025-03-10,2025,3,11,0,월,0,0,,1,1학기개강주,0,,,0,1
2025-03-11,2025,3,11,1,화,0,0,,1,1학기개강주,0,,,0,1
2025-03-12,2025,3,11,2,수,0,0,,1,1학기개강주,0,,,0,1
2025-03-13,2025,3,11,3,목,0,0,,1,1학기개강주,0,,,0,1
2025-03-14,2025,3,11,4,금,0,0,,1,1학기개강주,0,,,0,1
2025-03-15,2025,3,11,5,토,1,0,,0,,0,,,0,0
2025-03-16,2025,3,11,6,일,1,0,,0,,0,,,0,0
2025-03-17,2025,3,12,0,월,0,0,,0,,0,,,0,0
2025-03-18,2025,3,12,1,화,0,0,,0,,0,,,0,0
2025-03-19,2025,3,12,2,수,0,0,,0,,0,,,0,0
