order_id,user_id,store_id,item_id,timestamp,date,hour,day_of_week,month,season,qty,unit_price,total_amount,payment_type,channel,promo_id,promo_discount_pct,temp_c,feels_like_c,precip_mm,snow_cm,humidity_pct,wind_mps,pm25_ugm3,pm10_ugm3,is_raining,is_snowing,temp_category,pm25_category,is_weekend,is_holiday,is_exam_period,is_promo,gender,age_band,job,user_area,item_category,is_hot,is_ice,is_coffee,caffeine_mg,calorie_kcal
O000001,U0291,S022,I003,2025-11-18 17:00:00,2025-11-18,17,1,11,가을,1,4140,4140,간편결제,픽업,,0,8.7,8.2,0.0,0.0,55,0.7,66,136,0,0,선선함,나쁨,0,0,0,0,남,30대,자유/전문직,대전,에스프레소베이스,0,1,1,177,88
O000002,U0336,S010,I016,2025-05-16 11:30:00,2025-05-16,11,4,5,봄,1,5506,5506,카드,매장,,0,19.9,16.0,0.0,0.0,43,5.4,44,70,0,0,따뜻함,나쁨,0,0,0,0,남,30대,자유/전문직,서울,우유베이스티,1,0,0,20,278
O000003,U1693,S004,I005,2025-12-04 07:30:00,2025-12-04,7,3,12,겨울,2,3488,6976,간편결제,매장,PROMO_XMAS,20,-2.2,-4.6,0.0,0.0,69,4.1,73,139,0,0,추움,나쁨,0,0,0,1,여,40대,자영업,경기,에스프레소베이스,1,0,1,144,65
O000004,U1584,S009,I002,2025-03-29 13:30:00,2025-03-29,13,5,3,봄,1,5392,5392,현금,매장,,0,16.6,11.7,0.0,0.0,70,6.1,29,45,0,0,따뜻함,보통,1,0,0,0,여,40대,사무/기술직,부산,에스프레소베이스,1,0,1,147,6
O000005,U0071,S023,I018,2025-10-25 17:15:00,2025-10-25,17,5,10,가을,1,6487,6487,카드,매장,,0,14.6,14.2,0.0,0.0,47,0.9,37,80,0,0,선선함,나쁨,1,0,0,0,남,20대,무직,서울,우유베이스티,1,0,0,44,255
O000006,U1589,S024,I016,2025-05-15 20:30:00,2025-05-15,20,3,5,봄,1,5506,5506,카드,매장,,0,13.7,13.7,0.0,0.0,48,1.1,44,88,0,0,선선함,나쁨,0,0,0,0,여,40대,전업주부,인천,우유베이스티,1,0,0,20,278
O000007,U1804,S024,I029,2025-07-01 18:15:00,2025-07-01,18,1,7,여름,3,4499,13497,현금,픽업,,0,33.9,32.2,0.0,0.0,34,2.6,33,50,0,0,매우더움,보통,0,0,0,0,여,50대,경영/관리직,전남,주스에이드,0,1,0,29,215
O000008,U1634,S024,I003,2025-03-31 13:15:00,2025-03-31,13,0,3,봄,1,4140,4140,카드,픽업,,0,8.5,7.9,0.0,0.0,66,1.6,31,57,0,0,선선함,보통,0,0,0,0,여,40대,사무/기술직,강원,에스프레소베이스,0,1,1,177,88
O000009,U0355,S028,I025,2025-08-15 16:00:00,2025-08-15,16,4,8,여름,3,6140,18420,카드,픽업,,0,27.9,22.3,0.0,0.0,62,7.5,13,21,0,0,더움,좋음,0,1,0,0,남,30대,기능/작업직,충남,스무디프라페,0,1,0,89,429
O000010,U1706,S016,I001,2025-02-21 17:15:00,2025-02-21,17,4,2,겨울,3,4580,13740,카드,픽업,,0,-0.1,-3.6,0.0,0.0,57,5.3,33,61,0,0,추움,보통,0,0,0,0,여,50대,자영업,경기,에스프레소베이스,1,0,1,130,2
O000011,U1471,S018,I002,2025-08-22 07:45:00,2025-08-22,7,4,8,여름,1,5392,5392,카드,배달,,0,32.1,29.4,0.0,0.0,70,2.4,38,73,0,0,매우더움,나쁨,0,0,0,0,여,40대,경영/관리직,서울,에스프레소베이스,1,0,1,147,6
O000012,U0827,S030,I005,2025-03-19 18:00:00,2025-03-19,18,2,3,봄,1,4361,4361,카드,매장,,0,0.0,-2.3,0.0,0.0,77,3.2,79,150,0,0,추움,매우나쁨,0,0,0,0,남,50대,대학생,인천,에스프레소베이스,1,0,1,144,65
O000013,U0683,S021,I003,2025-07-10 15:30:00,2025-07-10,15,3,7,여름,1,4140,4140,카드,픽업,,0,27.8,22.5,0.0,0.0,88,6.9,19,36,0,0,더움,보통,0,0,0,0,남,40대,전업주부,서울,에스프레소베이스,0,1,1,177,88
O000014,U0960,S018,I004,2025-06-12 09:15:00,2025-06-12,9,3,6,여름,1,4801,4801,카드,매장,,0,27.5,27.6,0.0,0.0,43,0.9,18,32,0,0,더움,보통,0,0,1,0,남,50대,판매/영업,충북,에스프레소베이스,0,1,1,135,63
O000015,U1178,S029,I008,2025-01-11 13:00:00,2025-01-11,13,5,1,겨울,1,5985,5985,카드,매장,,0,4.4,1.3,0.0,0.0,61,5.3,71,126,0,0,쌀쌀함,나쁨,1,0,0,0,여,20대,사무/기술직,전남,우유베이스커피,1,0,1,105,233
O000016,U1663,S027,I012,2025-06-11 06:30:00,2025-06-11,6,2,6,여름,1,7116,7116,간편결제,매장,,0,26.4,19.9,1.9,0.0,69,7.9,48,85,1,0,더움,나쁨,0,0,1,0,여,40대,전업주부,경기,아이스크림커피,1,0,1,74,470
O000017,U0160,S020,I024,2025-04-17 08:00:00,2025-04-17,8,3,4,봄,2,5329,10658,간편결제,매장,,0,16.9,13.1,0.0,0.0,76,5.4,42,63,0,0,따뜻함,나쁨,0,0,0,0,남,20대,자유/전문직,충남,스무디프라페,0,1,0,50,355
O000018,U0423,S004,I025,2025-08-01 13:00:00,2025-08-01,13,4,8,여름,3,6140,18420,카드,매장,,0,34.4,29.8,0.0,0.0,55,6.5,5,10,0,0,매우더움,좋음,0,0,0,0,남,30대,전업주부,광주,스무디프라페,0,1,0,89,429
O000019,U1262,S030,I007,2025-03-28 13:15:00,2025-03-28,13,4,3,봄,1,5040,5040,현금,픽업,,0,11.9,8.3,0.0,0.0,52,5.4,34,69,0,0,선선함,보통,0,0,0,0,여,30대,자유/전문직,서울,우유베이스커피,0,1,1,119,196
O000020,U0985,S022,I018,2025-11-30 11:45:00,2025-11-30,11,6,11,가을,2,6487,12974,간편결제,매장,,0,9.2,6.0,0.0,0.0,57,4.1,45,98,0,0,선선함,나쁨,1,0,0,0,남,50대,대학생,강원,우유베이스티,1,0,0,44,255
O000021,U1580,S029,I019,2025-11-09 21:00:00,2025-11-09,21,6,11,가을,1,4397,4397,카드,매장,,0,4.5,-0.8,0.0,0.0,80,6.7,46,91,0,0,쌀쌀함,나쁨,1,0,0,0,여,40대,기타,제주,티차류,1,0,0,7,-20
O000022,U1720,S006,I001,2025-11-23 08:15:00,2025-11-23,8,6,11,가을,1,4580,4580,카드,매장,,0,11.3,7.4,0.0,0.0,85,6.1,48,102,0,0,선선함,나쁨,1,0,0,0,여,50대,경영/관리직,부산,에스프레소베이스,1,0,1,130,2
O000023,U0266,S012,I001,2025-08-01 10:45:00,2025-08-01,10,4,8,여름,1,4580,4580,현금,매장,,0,27.3,25.0,0.0,0.0,54,3.3,5,10,0,0,더움,좋음,0,0,0,0,남,30대,전업주부,전남,에스프레소베이스,1,0,1,130,2
O000024,U1409,S009,I001,2025-08-27 10:30:00,2025-08-27,10,2,8,여름,1,4580,4580,카드,매장,,0,33.0,26.6,0.0,0.0,64,7.8,12,25,0,0,매우더움,좋음,0,0,0,0,여,30대,대학생,인천,에스프레소베이스,1,0,1,130,2
O000025,U1788,S002,I028,2025-02-01 10:45:00,2025-02-01,10,5,2,겨울,3,4666,13998,카드,매장,,0,7.5,4.0,0.0,0.0,68,6.2,7,14,0,0,쌀쌀함,좋음,1,0,0,0,여,50대,전업주부,경기,주스에이드,0,1,0,15,146
O000026,U1086,S015,I011,2025-03-20 06:45:00,2025-03-20,6,3,3,봄,1,6214,6214,카드,매장,,0,7.3,3.6,0.0,0.0,57,5.6,61,111,0,0,쌀쌀함,나쁨,0,0,0,0,여,20대,기능/작업직,서울,우유베이스커피,0,1,1,110,168
O000027,U0433,S004,I004,2025-04-12 17:45:00,2025-04-12,17,5,4,봄,2,4801,9602,간편결제,픽업,,0,14.5,9.9,0.0,0.0,69,6.2,42,90,0,0,선선함,나쁨,1,0,0,0,남,30대,사무/기술직,대구,에스프레소베이스,0,1,1,135,63
O000028,U1795,S008,I011,2025-08-12 20:30:00,2025-08-12,20,1,8,여름,1,6214,6214,카드,매장,,0,22.1,20.6,0.0,0.0,40,2.1,26,50,0,0,따뜻함,보통,0,0,0,0,여,50대,판매/영업,경기,우유베이스커피,0,1,1,110,168
O000029,U0026,S005,I009,2025-01-20 22:15:00,2025-01-20,22,0,1,겨울,2,6472,12944,간편결제,매장,,0,-6.3,-8.9,0.0,0.0,54,4.5,36,56,0,0,추움,나쁨,0,0,0,0,남,20대,사무/기술직,서울,우유베이스커피,1,0,1,120,239
O000030,U0713,S003,I007,2025-07-05 07:30:00,2025-07-05,7,5,7,여름,1,5040,5040,멤버십,픽업,,0,28.7,23.5,0.0,0.0,64,6.9,5,10,0,0,더움,좋음,1,0,0,0,남,40대,경영/관리직,서울,우유베이스커피,0,1,1,119,196
O000031,U1317,S008,I001,2025-04-17 07:30:00,2025-04-17,7,3,4,봄,1,4580,4580,현금,매장,,0,18.5,13.5,0.0,0.0,53,6.0,26,42,0,0,따뜻함,보통,0,0,0,0,여,30대,판매/영업,경기,에스프레소베이스,1,0,1,130,2
O000032,U0485,S022,I029,2025-08-21 06:30:00,2025-08-21,6,3,8,여름,2,4499,8998,카드,배달,,0,27.2,24.9,0.0,0.0,78,3.7,5,9,0,0,더움,좋음,0,0,0,0,남,40대,기능/작업직,경기,주스에이드,0,1,0,29,215
O000033,U1850,S008,I001,2025-04-07 13:00:00,2025-04-07,13,0,4,봄,1,4580,4580,카드,매장,,0,22.3,19.6,0.0,0.0,49,4.4,51,98,0,0,따뜻함,나쁨,0,0,0,0,여,50대,사무/기술직,경기,에스프레소베이스,1,0,1,130,2
O000034,U1694,S012,I004,2025-08-03 10:45:00,2025-08-03,10,6,8,여름,1,4801,4801,카드,매장,,0,28.8,24.1,0.0,0.0,56,7.9,41,84,0,0,더움,나쁨,1,0,0,0,여,40대,판매/영업,전남,에스프레소베이스,0,1,1,135,63
O000035,U0429,S020,I003,2025-07-18 14:30:00,2025-07-18,14,4,7,여름,1,4140,4140,카드,매장,,0,34.7,33.8,0.0,0.0,40,3.2,26,45,0,0,매우더움,보통,0,0,0,0,남,30대,기타,서울,에스프레소베이스,0,1,1,177,88
O000036,U1658,S001,I005,2025-04-24 15:15:00,2025-04-24,15,3,4,봄,1,4361,4361,간편결제,매장,,0,15.6,13.6,0.0,0.0,72,2.5,22,39,0,0,따뜻함,보통,0,0,0,0,여,40대,전업주부,서울,에스프레소베이스,1,0,1,144,65
