item_id,item_name,category,is_hot,is_ice,is_coffee,caffeine_mg,sugar_g,calorie_kcal,base_price
I001,에스프레소,에스프레소베이스,1,0,1,130,26.5,2,4580
I002,아메리카노(HOT),에스프레소베이스,1,0,1,147,32.4,6,5392
I003,아메리카노(ICE),에스프레소베이스,0,1,1,177,23.3,88,4140
I004,콜드브루,에스프레소베이스,0,1,1,135,20.4,63,4801
I005,드립커피,에스프레소베이스,1,0,1,144,22.9,65,4361
I006,카페라떼(HOT),우유베이스커피,1,0,1,86,38.1,202,6688
I007,카페라떼(ICE),우유베이스커피,0,1,1,119,37.7,196,5040
I008,카푸치노,우유베이스커피,1,0,1,105,41.2,233,5985
I009,달콤한커피(HOT),우유베이스커피,1,0,1,120,13.9,239,6472
I010,달콤한커피(ICE),우유베이스커피,0,1,1,103,23.2,213,6360
I011,콜드브루라떼,우유베이스커피,0,1,1,110,25.5,168,6214
I012,프라푸치노,아이스크림커피,1,0,1,74,43.6,470,7116
I013,블렌디드,아이스크림커피,1,0,1,109,24.6,445,6385
I014,아포가토,아이스크림커피,1,0,1,86,18.3,494,6172
I015,말차라떼,우유베이스티,1,0,0,21,22.8,203,6105
I016,밀크티(HOT),우유베이스티,1,0,0,20,33.8,278,5506
I017,밀크티(ICE),우유베이스티,0,1,0,48,11.5,195,6080
I018,그린티라떼,우유베이스티,1,0,0,44,17.1,255,6487
I019,얼그레이,티차류,1,0,0,7,43.9,-20,4397
I020,캐모마일,티차류,1,0,0,30,35.3,-13,4996
I021,페퍼민트,티차류,1,0,0,28,12.6,-8,4957
I022,루이보스,티차류,1,0,0,17,29.0,50,5198
I023,망고스무디,스무디프라페,0,1,0,75,12.3,457,6136
I024,딸기스무디,스무디프라페,0,1,0,50,12.9,355,5329
I025,그린티프라페,스무디프라페,0,1,0,89,5.4,429,6140
I026,과일티스무디,스무디프라페,0,1,0,74,26.6,376,5463
I027,레몬에이드,주스에이드,0,1,0,-17,17.9,152,5542
I028,자몽에이드,주스에이드,0,1,0,15,41.1,146,4666
I029,오렌지주스,주스에이드,0,1,0,29,18.9,215,4499
I030,청포도에이드,주스에이드,0,1,0,-2,43.4,207,5083
