user_id,gender,age,age_band,age_5,job,area,reg_date
U0102,남,25,20대,25~29,사무/기술직,경기,2023-05-05
U1280,여,30,30대,30~34,대학생,경남,2024-05-10
U1775,여,52,50대,50~54,자영업,제주,2023-10-08
U1164,여,26,20대,25~29,전업주부,인천,2023-05-16
U1817,여,52,50대,50~54,사무/기술직,서울,2023-09-08
U1368,여,36,30대,35~39,대학생,대구,2024-05-14
U1834,여,51,50대,50~54,자유/전문직,대전,2023-12-03
U1455,여,42,40대,40~44,기능/작업직,광주,2024-09-15
U1569,여,47,40대,45~49,경영/관리직,경북,2023-06-05
U1197,여,27,20대,25~29,판매/영업,충남,2024-10-31
U0366,남,35,30대,35~39,대학생,서울,2023-08-03
U1059,여,21,20대,20~24,사무/기술직,서울,2023-12-24
U0442,남,37,30대,35~39,자유/전문직,부산,2023-03-31
U1751,여,52,50대,50~54,전업주부,경남,2023-10-19
U0058,남,21,20대,20~24,기타,대구,2023-03-30
U0561,남,40,40대,40~44,사무/기술직,경기,2024-11-24
U1068,여,23,20대,20~24,전업주부,대전,2023-10-29
U0671,남,47,40대,45~49,자유/전문직,대구,2024-02-17
U0331,남,34,30대,30~34,사무/기술직,경북,2024-11-09
U0038,남,23,20대,20~24,대학생,서울,2024-06-04
U0498,남,41,40대,40~44,전업주부,서울,2023-05-14
U1002,남,55,50대,55~59,자유/전문직,인천,2023-05-25
U1878,여,58,50대,55~59,사무/기술직,서울,2024-09-14
U0134,남,27,20대,25~29,대학생,부산,2024-06-13
U0262,남,33,30대,30~34,기타,울산,2024-03-10
U0200,남,26,20대,25~29,사무/기술직,서울,2024-10-20
U1481,여,42,40대,40~44,자유/전문직,경기,2024-06-01
U1993,여,56,50대,55~59,기능/작업직,부산,2024-07-05
U0903,남,59,50대,55~59,기능/작업직,경기,2024-04-23
U1043,여,22,20대,20~24,자유/전문직,서울,2024-11-25
U1305,여,31,30대,30~34,기타,부산,2024-04-12
U1682,여,46,40대,45~49,자유/전문직,서울,2024-02-26
U0790,남,50,50대,50~54,사무/기술직,서울,2024-06-05
U0460,남,42,40대,40~44,자유/전문직,광주,2024-11-07
U0675,남,48,40대,45~49,기능/작업직,강원,2024-06-19
U1286,여,30,30대,30~34,사무/기술직,인천,2023-05-14
U0997,남,56,50대,55~59,사무/기술직,서울,2024-06-16
U1760,여,54,50대,50~54,사무/기술직,인천,2023-08-22
U1125,여,28,20대,25~29,판매/영업,서울,2024-01-05
U0725,남,53,50대,50~54,전업주부,서울,2024-09-04
U1657,여,46,40대,45~49,자영업,전북,2023-02-17
U1990,여,59,50대,55~59,자유/전문직,서울,2023-08-20
U0665,남,46,40대,45~49,자유/전문직,대구,2023-05-04
U0169,남,27,20대,25~29,전업주부,전남,2023-12-12
U1782,여,53,50대,50~54,자유/전문직,서울,2024-11-09
U0376,남,39,30대,35~39,대학생,서울,2023-09-07
U1436,여,36,30대,35~39,사무/기술직,서울,2024-11-12
U1274,여,32,30대,30~34,전업주부,경북,2024-09-10
U1578,여,49,40대,45~49,사무/기술직,부산,2023-05-21
U1535,여,40,40대,40~44,자영업,서울,2024-04-22
U1849,여,50,50대,50~54,사무/기술직,경기,2023-05-14
U1072,여,20,20대,20~24,사무/기술직,서울,2023-08-30
U1039,여,20,20대,20~24,기타,경기,2023-12-30
U1139,여,26,20대,25~29,사무/기술직,서울,2024-02-09
U0119,남,28,20대,25~29,전업주부,대전,2024-07-01
U0964,남,55,50대,55~59,대학생,서울,2023-11-13
U1425,여,37,30대,35~39,사무/기술직,서울,2023-01-06
U1381,여,39,30대,35~39,자유/전문직,경기,2023-03-08
U1996,여,57,50대,55~59,자영업,서울,2024-08-30
U0883,남,56,50대,55~59,기타,경기,2024-08-11
U1463,여,44,40대,40~44,기타,서울,2023-04-08
U1428,여,36,30대,35~39,사무/기술직,대구,2024-06-28
U0403,남,35,30대,35~39,기능/작업직,충남,2023-04-16
U0409,남,39,30대,35~39,경영/관리직,서울,2024-08-20
U1659,여,45,40대,45~49,기능/작업직,서울,2023-12-26
U0043,남,20,20대,20~24,자영업,광주,2024-07-13
U1677,여,46,40대,45~49,사무/기술직,경기,2023-02-02
U1970,여,55,50대,55~59,대학생,대구,2023-09-16
U0227,남,34,30대,30~34,기능/작업직,전북,2024-05-08
U1384,여,39,30대,35~39,기능/작업직,경기,2023-04-03
U1168,여,27,20대,25~29,판매/영업,경북,2023-06-24
U1981,여,56,50대,55~59,전업주부,서울,2023-02-03
U0769,남,53,50대,50~54,대학생,충남,2023-05-11
U0865,남,54,50대,50~54,자유/전문직,경북,2023-11-05
U1859,여,55,50대,55~59,사무/기술직,대구,2023-08-20
U1875,여,58,50대,55~59,무직,경기,2024-08-19
U0906,남,56,50대,55~59,무직,충북,2024-07-03
U1528,여,42,40대,40~44,사무/기술직,경기,2023-12-19
U0418,남,37,30대,35~39,사무/기술직,경기,2023-05-10
U1095,여,21,20대,20~24,자영업,서울,2024-08-26
U0264,남,33,30대,30~34,사무/기술직,부산,2024-09-23
U0486,남,43,40대,40~44,사무/기술직,부산,2023-04-11
U0275,남,34,30대,30~34,기능/작업직,대전,2024-08-23
U1742,여,51,50대,50~54,대학생,경기,2023-04-03
U0600,남,49,40대,45~49,전업주부,경기,2024-08-29
U0879,남,58,50대,55~59,사무/기술직,부산,2023-07-19
U1739,여,52,50대,50~54,대학생,세종,2024-04-21
U0676,남,45,40대,45~49,전업주부,서울,2024-03-05
U0503,남,43,40대,40~44,대학생,경기,2023-06-12
U0657,남,49,40대,45~49,경영/관리직,서울,2023-04-17
U0877,남,59,50대,55~59,사무/기술직,부산,2024-07-31
U1843,여,50,50대,50~54,대학생,경기,2023-01-12
U1574,여,47,40대,45~49,사무/기술직,광주,2024-04-21
U0520,남,41,40대,40~44,사무/기술직,전남,2024-06-13
U1250,여,33,30대,30~34,사무/기술직,충남,2023-05-17
U1752,여,52,50대,50~54,사무/기술직,경기,2023-07-20
U0121,남,27,20대,25~29,자영업,울산,2023-08-03
U0371,남,38,30대,35~39,사무/기술직,전남,2023-09-07
U1418,여,36,30대,35~39,경영/관리직,서울,2023-12-09
U0915,남,55,50대,55~59,기타,서울,2023-06-14
U1141,여,25,20대,25~29,사무/기술직,경남,2024-10-17
U0165,남,27,20대,25~29,사무/기술직,경북,2023-02-16
U0961,남,56,50대,55~59,판매/영업,서울,2023-11-30
U1969,여,57,50대,55~59,무직,서울,2024-02-25
U0845,남,53,50대,50~54,자유/전문직,부산,2023-11-22
U1901,여,58,50대,55~59,자유/전문직,인천,2023-08-02
U0466,남,40,40대,40~44,사무/기술직,대구,2024-01-23
U1433,여,35,30대,35~39,전업주부,경기,2024-04-23
U0756,남,51,50대,50~54,자영업,경기,2024-01-19
U1047,여,24,20대,20~24,전업주부,경기,2024-01-14
U1962,여,57,50대,55~59,대학생,서울,2024-10-03
U0022,남,23,20대,20~24,사무/기술직,제주,2024-07-07
U0733,남,53,50대,50~54,사무/기술직,울산,2023-07-10
U1476,여,44,40대,40~44,사무/기술직,서울,2023-09-25
U1189,여,27,20대,25~29,전업주부,서울,2024-02-01
U1948,여,57,50대,55~59,사무/기술직,경기,2024-09-05
U0848,남,53,50대,50~54,전업주부,충남,2023-04-22
U0065,남,20,20대,20~24,기능/작업직,서울,2023-07-22
U1069,여,23,20대,20~24,사무/기술직,인천,2024-07-22
U1649,여,46,40대,45~49,자영업,대전,2024-07-15
U0914,남,59,50대,55~59,사무/기술직,경기,2024-08-19
U0547,남,42,40대,40~44,자유/전문직,경기,2023-05-07
U0093,남,25,20대,25~29,사무/기술직,전북,2023-09-22
U1427,여,37,30대,35~39,자유/전문직,경남,2024-09-03
U1873,여,59,50대,55~59,경영/관리직,전남,2023-04-12
U1930,여,57,50대,55~59,기타,광주,2023-01-02
U0808,남,54,50대,50~54,사무/기술직,경기,2023-04-19
U1329,여,34,30대,30~34,자영업,대구,2024-10-05
U0590,남,45,40대,45~49,전업주부,전남,2023-05-18
U0176,남,28,20대,25~29,전업주부,대구,2024-02-26
U0464,남,40,40대,40~44,판매/영업,인천,2023-12-23
U0661,남,45,40대,45~49,사무/기술직,서울,2024-05-10
U1963,여,56,50대,55~59,사무/기술직,인천,2023-05-20
U0387,남,39,30대,35~39,사무/기술직,서울,2024-02-07
U0850,남,54,50대,50~54,기능/작업직,부산,2023-12-15
U1790,여,52,50대,50~54,자유/전문직,대구,2023-11-28
U1835,여,53,50대,50~54,판매/영업,경기,2024-08-01
U0193,남,28,20대,25~29,무직,경기,2024-05-31
U1055,여,24,20대,20~24,경영/관리직,서울,2023-08-16
U1846,여,54,50대,50~54,사무/기술직,경남,2023-01-12
U1045,여,24,20대,20~24,대학생,경기,2023-02-09
U1580,여,45,40대,45~49,기타,제주,2024-04-13
U1225,여,31,30대,30~34,자유/전문직,경기,2023-06-24
U0833,남,51,50대,50~54,대학생,충남,2023-03-24
U0781,남,51,50대,50~54,사무/기술직,경기,2023-08-11
U0355,남,35,30대,35~39,기능/작업직,충남,2024-02-24
U1764,여,54,50대,50~54,사무/기술직,경기,2023-06-26
U1469,여,44,40대,40~44,사무/기술직,전남,2024-07-28
U0008,남,23,20대,20~24,판매/영업,대전,2024-04-04
U1637,여,45,40대,45~49,사무/기술직,대구,2023-06-01
U1954,여,56,50대,55~59,기능/작업직,경기,2024-05-01
U1636,여,47,40대,45~49,전업주부,서울,2024-01-19
U1584,여,45,40대,45~49,사무/기술직,부산,2024-01-29
U1612,여,49,40대,45~49,자영업,대전,2023-08-15
U1467,여,41,40대,40~44,사무/기술직,경기,2023-08-25
U1788,여,50,50대,50~54,전업주부,경기,2024-11-20
U1902,여,59,50대,55~59,사무/기술직,광주,2023-09-25
U0809,남,53,50대,50~54,경영/관리직,인천,2024-03-17
U0497,남,40,40대,40~44,자유/전문직,경북,2023-05-07
U0909,남,56,50대,55~59,사무/기술직,서울,2024-12-02
U0934,남,56,50대,55~59,사무/기술직,대구,2023-02-12
U1417,여,38,30대,35~39,사무/기술직,대전,2023-12-22
U0591,남,48,40대,45~49,판매/영업,충남,2024-06-09
U1731,여,54,50대,50~54,자유/전문직,대구,2024-05-25
U0426,남,36,30대,35~39,대학생,경남,2023-11-11
U0668,남,47,40대,45~49,사무/기술직,경기,2023-02-20
U0751,남,51,50대,50~54,자유/전문직,전남,2023-12-06
U0049,남,20,20대,20~24,무직,전남,2023-01-08
U0827,남,51,50대,50~54,대학생,인천,2023-08-01
U0969,남,55,50대,55~59,사무/기술직,경기,2024-07-29
U0447,남,35,30대,35~39,자유/전문직,부산,2024-01-03
U0988,남,56,50대,55~59,사무/기술직,경기,2024-08-06
U1762,여,51,50대,50~54,판매/영업,경북,2023-08-25
U0891,남,56,50대,55~59,사무/기술직,경기,2023-05-03
U0834,남,52,50대,50~54,무직,서울,2023-11-19
U0156,남,28,20대,25~29,판매/영업,경기,2023-01-19
U0459,남,42,40대,40~44,자유/전문직,서울,2023-05-24
U0206,남,29,20대,25~29,사무/기술직,대전,2024-11-25
U0887,남,59,50대,55~59,자유/전문직,부산,2024-07-14
U0395,남,37,30대,35~39,대학원생,서울,2024-07-19
U0394,남,35,30대,35~39,무직,경기,2024-06-11
U1623,여,45,40대,45~49,경영/관리직,서울,2024-02-06
U0669,남,49,40대,45~49,대학생,서울,2023-01-28
U0859,남,53,50대,50~54,사무/기술직,서울,2024-05-23
U1202,여,29,20대,25~29,자유/전문직,경기,2023-01-16
U1512,여,44,40대,40~44,사무/기술직,서울,2024-10-18
U0011,남,23,20대,20~24,사무/기술직,경남,2024-11-10
U1169,여,25,20대,25~29,전업주부,서울,2024-07-23
U1124,여,26,20대,25~29,전업주부,서울,2023-09-08
U1668,여,49,40대,45~49,사무/기술직,울산,2024-02-09
U0172,남,27,20대,25~29,사무/기술직,서울,2024-10-17
U1585,여,45,40대,45~49,자영업,서울,2023-04-29
U0272,남,30,30대,30~34,사무/기술직,부산,2023-09-25
U1893,여,59,50대,55~59,사무/기술직,경남,2024-05-20
U1322,여,31,30대,30~34,자유/전문직,충남,2023-03-15
U0587,남,48,40대,45~49,기능/작업직,경기,2024-03-01
U0697,남,46,40대,45~49,대학생,서울,2023-03-29
U0614,남,48,40대,45~49,사무/기술직,경북,2023-03-16
U0576,남,43,40대,40~44,기능/작업직,경기,2024-05-04
U1266,여,33,30대,30~34,자유/전문직,경기,2024-09-23
U1367,여,37,30대,35~39,사무/기술직,경기,2024-01-24
U0389,남,36,30대,35~39,대학생,경기,2023-02-19
U1741,여,54,50대,50~54,판매/영업,광주,2023-10-06
U1093,여,22,20대,20~24,자영업,서울,2023-04-02
U1254,여,30,30대,30~34,사무/기술직,인천,2024-07-29
U1356,여,36,30대,35~39,경영/관리직,충북,2023-06-28
U1568,여,43,40대,40~44,사무/기술직,경북,2023-11-04
U0066,남,24,20대,20~24,전업주부,경기,2024-09-17
U0237,남,33,30대,30~34,자유/전문직,서울,2023-05-12
U0743,남,54,50대,50~54,자영업,경남,2023-08-22
U1635,여,45,40대,45~49,사무/기술직,서울,2024-04-26
U0067,남,21,20대,20~24,대학생,서울,2024-02-20
U1965,여,55,50대,55~59,사무/기술직,서울,2024-06-13
U0513,남,40,40대,40~44,전업주부,서울,2023-06-12
U0736,남,50,50대,50~54,사무/기술직,경기,2023-12-28
U0674,남,48,40대,45~49,사무/기술직,서울,2024-03-22
U0672,남,48,40대,45~49,사무/기술직,광주,2023-10-23
U0797,남,54,50대,50~54,경영/관리직,경기,2024-08-10
U1801,여,52,50대,50~54,대학생,경북,2024-10-18
U0234,남,34,30대,30~34,사무/기술직,강원,2024-11-24
U1687,여,49,40대,45~49,기타,전북,2023-03-04
U0490,남,40,40대,40~44,기타,대구,2024-11-05
U1268,여,33,30대,30~34,자영업,전북,2023-06-30
U0499,남,40,40대,40~44,자영업,경기,2023-01-26
U0455,남,40,40대,40~44,전업주부,경북,2023-02-15
U0095,남,27,20대,25~29,판매/영업,충북,2023-07-28
U0385,남,39,30대,35~39,대학생,울산,2023-08-04
U1422,여,38,30대,35~39,사무/기술직,인천,2024-01-05
U1973,여,55,50대,55~59,기능/작업직,서울,2024-11-27
U0918,남,57,50대,55~59,사무/기술직,서울,2023-10-13
U0689,남,48,40대,45~49,사무/기술직,서울,2023-10-31
U1283,여,33,30대,30~34,기능/작업직,서울,2024-07-14
U0467,남,40,40대,40~44,자영업,충북,2023-01-17
U0346,남,36,30대,35~39,전업주부,대구,2024-08-22
U0116,남,28,20대,25~29,사무/기술직,경기,2024-04-09
U0519,남,43,40대,40~44,판매/영업,경기,2023-04-11
U0533,남,42,40대,40~44,사무/기술직,서울,2023-06-27
U1625,여,47,40대,45~49,판매/영업,서울,2023-11-15
U1805,여,52,50대,50~54,사무/기술직,충북,2023-02-16
U1217,여,25,20대,25~29,사무/기술직,대전,2024-03-01
U1601,여,46,40대,45~49,전업주부,서울,2024-05-21
U0351,남,35,30대,35~39,자영업,서울,2023-01-24
U0983,남,56,50대,55~59,자유/전문직,경기,2023-10-26
U0412,남,37,30대,35~39,자유/전문직,인천,2024-02-01
U0494,남,43,40대,40~44,사무/기술직,충남,2023-11-12
U0291,남,34,30대,30~34,자유/전문직,대전,2024-06-01
U1971,여,55,50대,55~59,사무/기술직,대구,2024-09-21
U1275,여,32,30대,30~34,경영/관리직,경기,2023-09-26
U1662,여,46,40대,45~49,기능/작업직,대전,2024-09-04
U0673,남,47,40대,45~49,경영/관리직,서울,2023-01-09
U0746,남,52,50대,50~54,사무/기술직,경기,2024-08-19
U1819,여,50,50대,50~54,전업주부,경기,2023-02-08
U0352,남,39,30대,35~39,기능/작업직,대구,2024-01-25
U0811,남,51,50대,50~54,사무/기술직,경기,2023-03-04
U0140,남,28,20대,25~29,사무/기술직,전북,2023-07-20
U1633,여,46,40대,45~49,대학생,경북,2023-09-25
U1285,여,30,30대,30~34,전업주부,부산,2023-06-19
U0762,남,50,50대,50~54,자유/전문직,광주,2024-03-05
U0207,남,27,20대,25~29,사무/기술직,광주,2023-05-07
U0660,남,46,40대,45~49,사무/기술직,경기,2024-03-07
U1327,여,30,30대,30~34,사무/기술직,인천,2023-12-28
U1457,여,40,40대,40~44,사무/기술직,울산,2024-08-05
U1006,남,55,50대,55~59,경영/관리직,경기,2024-07-29
U1553,여,42,40대,40~44,사무/기술직,대전,2023-02-17
U1634,여,49,40대,45~49,사무/기술직,강원,2024-01-02
U1491,여,43,40대,40~44,자유/전문직,서울,2024-02-27
U0583,남,42,40대,40~44,기능/작업직,전북,2023-10-29
U0353,남,39,30대,35~39,판매/영업,경북,2023-10-10
U1857,여,59,50대,55~59,사무/기술직,서울,2024-02-11
U1701,여,49,40대,45~49,자유/전문직,경기,2023-11-14
U0619,남,45,40대,45~49,사무/기술직,서울,2023-04-20
U1352,여,37,30대,35~39,사무/기술직,경기,2024-11-12
U0481,남,41,40대,40~44,자유/전문직,경기,2024-04-21
U0224,남,32,30대,30~34,전업주부,대전,2024-12-02
U0501,남,40,40대,40~44,무직,경북,2024-07-21
U1461,여,43,40대,40~44,판매/영업,경기,2024-07-20
U1567,여,42,40대,40~44,사무/기술직,경남,2023-01-29
U0708,남,48,40대,45~49,자영업,서울,2023-04-02
U1500,여,42,40대,40~44,전업주부,경기,2023-03-11
U1883,여,56,50대,55~59,기능/작업직,경기,2023-11-02
U1054,여,21,20대,20~24,사무/기술직,충북,2023-09-21
U1462,여,40,40대,40~44,사무/기술직,울산,2024-07-27
U1342,여,39,30대,35~39,전업주부,인천,2023-02-17
U0062,남,22,20대,20~24,대학생,경기,2024-10-24
U0722,남,51,50대,50~54,자유/전문직,대구,2024-10-16
U1443,여,40,40대,40~44,자영업,전북,2023-12-19
U1393,여,38,30대,35~39,기능/작업직,충북,2023-07-05
U0012,남,24,20대,20~24,판매/영업,충남,2023-08-23
U1949,여,57,50대,55~59,기능/작업직,경기,2023-10-15
U1180,여,26,20대,25~29,대학생,경기,2023-09-30
U0285,남,34,30대,30~34,사무/기술직,경기,2024-05-30
U0931,남,56,50대,55~59,대학생,경기,2023-03-21
U0133,남,29,20대,25~29,사무/기술직,대구,2023-06-19
U0840,남,54,50대,50~54,경영/관리직,충북,2024-05-22
U0268,남,34,30대,30~34,자유/전문직,서울,2024-11-28
U1733,여,50,50대,50~54,판매/영업,충남,2024-06-07
U0664,남,49,40대,45~49,사무/기술직,서울,2023-01-30
