datetime,date,hour,month,season,temp_c,feels_like_c,precip_mm,snow_cm,humidity_pct,wind_mps,pm25_ugm3,pm10_ugm3,is_raining,is_snowing,temp_category,pm25_category
2025-01-01 00:00,2025-01-01,0,1,겨울,-7.8,-11.4,0.0,0.0,81,4.5,43,65,0,0,추움,나쁨
2025-01-01 01:00,2025-01-01,1,1,겨울,-7.4,-8.0,0.0,0.0,50,1.0,56,119,0,0,추움,나쁨
2025-01-01 02:00,2025-01-01,2,1,겨울,-1.8,-6.7,0.0,0.0,71,5.7,23,36,0,0,추움,보통
2025-01-01 03:00,2025-01-01,3,1,겨울,-8.3,-13.2,0.0,0.6,45,6.7,35,65,0,1,추움,보통
2025-01-01 04:00,2025-01-01,4,1,겨울,-4.0,-6.1,0.0,0.0,81,2.3,43,76,0,0,추움,나쁨
2025-01-01 05:00,2025-01-01,5,1,겨울,-2.8,-7.1,0.0,0.0,73,6.4,77,141,0,0,추움,매우나쁨
2025-01-01 06:00,2025-01-01,6,1,겨울,-7.6,-12.9,0.0,0.0,59,5.8,65,119,0,0,추움,나쁨
2025-01-01 07:00,2025-01-01,7,1,겨울,1.5,-1.2,0.0,0.0,69,3.8,41,70,0,0,쌀쌀함,나쁨
2025-01-01 08:00,2025-01-01,8,1,겨울,2.5,1.3,0.0,0.0,40,2.0,56,99,0,0,쌀쌀함,나쁨
2025-01-01 09:00,2025-01-01,9,1,겨울,-3.6,-6.2,0.0,0.0,85,3.6,48,74,0,0,추움,나쁨
2025-01-01 10:00,2025-01-01,10,1,겨울,6.2,4.2,0.0,0.0,67,1.8,29,46,0,0,쌀쌀함,보통
2025-01-01 11:00,2025-01-01,11,1,겨울,3.9,1.6,0.0,0.0,55,3.1,32,66,0,0,쌀쌀함,보통
2025-01-01 12:00,2025-01-01,12,1,겨울,1.9,-1.6,0.0,0.0,50,5.5,29,44,0,0,쌀쌀함,보통
2025-01-01 13:00,2025-01-01,13,1,겨울,-3.1,-8.4,0.0,0.0,77,7.6,43,92,0,0,추움,나쁨
2025-01-01 14:00,2025-01-01,14,1,겨울,1.2,-1.7,0.0,0.0,37,4.2,47,85,0,0,쌀쌀함,나쁨
2025-01-01 15:00,2025-01-01,15,1,겨울,-2.9,-6.3,0.0,0.0,84,5.4,18,35,0,0,추움,보통
2025-01-01 16:00,2025-01-01,16,1,겨울,-2.0,-6.1,0.0,0.0,32,5.4,60,114,0,0,추움,나쁨
2025-01-01 17:00,2025-01-01,17,1,겨울,0.9,-1.3,0.0,0.0,76,3.3,45,80,0,0,추움,나쁨
2025-01-01 18:00,2025-01-01,18,1,겨울,-4.4,-4.9,0.0,0.0,73,1.0,42,87,0,0,추움,나쁨
2025-01-01 19:00,2025-01-01,19,1,겨울,-0.7,-4.6,0.0,0.0,62,5.6,40,81,0,0,추움,나쁨
2025-01-01 20:00,2025-01-01,20,1,겨울,-3.4,-8.9,0.0,0.0,73,7.6,68,103,0,0,추움,나쁨
2025-01-01 21:00,2025-01-01,21,1,겨울,-9.7,-13.8,0.0,0.0,66,5.3,42,80,0,0,추움,나쁨
2025-01-01 22:00,2025-01-01,22,1,겨울,-8.5,-8.8,0.0,0.0,35,1.0,42,88,0,0,추움,나쁨
2025-01-01 23:00,2025-01-01,23,1,겨울,-11.4,-11.5,0.0,0.0,68,1.0,55,93,0,0,추움,나쁨
2025-01-02 00:00,2025-01-02,0,1,겨울,-11.3,-15.7,0.0,0.0,75,6.3,44,84,0,0,추움,나쁨
2025-01-02 01:00,2025-01-02,1,1,겨울,-4.8,-6.6,0.0,0.0,62,2.1,56,110,0,0,추움,나쁨
2025-01-02 02:00,2025-01-02,2,1,겨울,-3.8,-8.5,0.0,0.0,37,5.8,46,69,0,0,추움,나쁨
2025-01-02 03:00,2025-01-02,3,1,겨울,-3.6,-9.0,0.0,0.0,69,7.0,45,72,0,0,추움,나쁨
2025-01-02 04:00,2025-01-02,4,1,겨울,-9.3,-11.8,0.0,0.0,47,4.4,63,123,0,0,추움,나쁨
2025-01-02 05:00,2025-01-02,5,1,겨울,-1.3,-3.5,0.0,0.0,39,3.7,44,83,0,0,추움,나쁨
2025-01-02 06:00,2025-01-02,6,1,겨울,-7.1,-12.1,0.0,0.0,72,7.5,31,60,0,0,추움,보통
